log10(Mass)+10    log10(VelDisp)   number_of_galaxy
11.095768 2.103251 55.000000
11.052419 2.176753 58.000000
11.057519 2.184440 58.000000
11.062607 2.205826 59.000000
10.930684 2.096951 55.000000
11.055770 2.149414 55.000000
11.046793 2.189631 58.000000
11.068542 2.126269 59.000000
10.971503 2.202690 62.000000
10.934278 2.155143 62.000000
10.950410 2.185701 58.000000
10.988927 2.179662 60.000000
11.075791 2.149121 52.000000
11.000871 2.175345 60.000000
10.953363 2.209344 62.000000
11.035266 2.198642 67.000000
10.885062 2.141458 55.000000
11.063701 2.149254 58.000000
11.017940 2.124292 59.000000
10.968676 2.169451 60.000000
10.960141 2.128929 60.000000
10.996336 2.209411 60.000000
11.063889 2.166750 54.000000
11.078074 2.126466 55.000000
11.061658 2.212878 55.000000
10.984389 2.238229 58.000000
11.005419 2.111061 57.000000
11.035057 2.205614 57.000000
11.036276 2.177467 53.000000
11.017780 2.140583 51.000000
11.055647 2.197393 63.000000
11.009595 2.147781 61.000000
11.044634 2.204314 60.000000
11.023271 2.196141 58.000000
10.993619 2.174430 56.000000
10.985124 2.144139 53.000000
11.063526 2.228753 53.000000
11.048463 2.153223 58.000000
11.027469 2.157996 50.000000
10.493609 2.256637 60.000000
11.008564 2.143625 59.000000
10.699356 2.136623 60.000000
10.825712 2.134665 60.000000
11.030837 2.191247 57.000000
11.011139 2.208593 61.000000
11.022740 2.194066 50.000000
11.033259 2.180926 55.000000
10.921651 2.212549 54.000000
11.025318 2.146296 58.000000
11.018320 2.162094 59.000000
11.024021 2.189766 60.000000
11.028719 2.162445 61.000000
11.019788 2.208493 54.000000
10.989791 2.180752 51.000000
10.746604 2.182802 54.000000
11.004287 2.180261 59.000000
10.991068 2.189006 60.000000
11.025180 2.127775 60.000000
10.631523 2.154090 54.000000
11.014241 2.164358 49.000000
11.013135 2.144380 61.000000
10.993186 2.156415 57.000000
10.966843 2.177999 53.000000
10.985922 2.197413 57.000000
10.991528 2.178472 59.000000
10.963499 2.204855 52.000000
11.023450 2.091972 56.000000
11.004752 2.204632 56.000000
10.942871 2.130577 55.000000
10.986780 2.205981 53.000000
10.977157 2.260058 52.000000
11.021589 2.194370 54.000000
10.897041 2.203721 56.000000
11.003705 2.207095 57.000000
11.003313 2.139444 59.000000
10.942281 2.129816 58.000000
10.893417 2.178057 54.000000
10.952861 2.112947 54.000000
10.931126 2.202549 61.000000
11.026890 2.153747 58.000000
10.927919 2.200838 56.000000
10.998139 2.162821 56.000000
10.820435 2.146643 51.000000
10.952638 2.093531 59.000000
10.978587 2.167477 61.000000
10.939107 2.186816 49.000000
10.911756 2.139034 58.000000
10.986052 2.155685 53.000000
10.978366 2.118745 57.000000
10.933239 2.197219 58.000000
10.990068 2.142183 60.000000
10.916336 2.196047 54.000000
10.997687 2.217628 58.000000
10.965582 2.190168 57.000000
10.970034 2.180478 54.000000
10.970934 2.114373 54.000000
10.947568 2.141442 54.000000
10.909779 2.226341 57.000000
10.811832 2.123790 50.000000
10.925969 2.151038 58.000000
10.897867 2.105250 55.000000
10.934529 2.203079 53.000000
10.950094 2.214718 53.000000
10.972005 2.141513 59.000000
10.936237 2.165984 58.000000
10.537079 2.169428 53.000000
10.919312 2.176457 60.000000
10.709408 2.248362 57.000000
10.959308 2.157439 53.000000
10.973210 2.195013 52.000000
10.943988 2.179077 59.000000
10.963242 2.087370 57.000000
10.962279 2.186789 60.000000
10.839710 2.181070 53.000000
10.966201 2.135478 55.000000
10.754727 2.107436 58.000000
10.927838 2.173039 55.000000
10.952854 2.203475 60.000000
10.839222 2.175555 55.000000
10.913505 2.203927 47.000000
10.889850 2.272131 56.000000
10.959912 2.130530 52.000000
10.914750 2.187769 50.000000
10.935980 2.221197 55.000000
10.935978 2.161008 52.000000
10.893620 2.139802 47.000000
10.875471 2.178167 53.000000
10.946679 2.137927 55.000000
10.697676 2.190380 50.000000
10.780800 2.185119 56.000000
10.875039 2.150084 53.000000
10.934497 2.152007 53.000000
10.709341 2.199862 53.000000
10.939784 2.133317 48.000000
10.939262 2.153001 60.000000
10.924437 2.148468 52.000000
10.917315 2.200607 58.000000
10.942587 2.147070 54.000000
10.915973 2.149409 51.000000
10.901445 2.159104 56.000000
10.937119 2.150960 52.000000
10.909155 2.187630 55.000000
10.929392 2.193396 54.000000
10.913311 2.153337 50.000000
10.527349 2.166618 56.000000
10.802813 2.219642 53.000000
10.894934 2.265032 53.000000
10.897949 2.158687 53.000000
10.868897 2.197174 57.000000
10.873042 2.227588 55.000000
10.919460 2.135987 59.000000
10.932001 2.087443 53.000000
10.826797 2.118657 51.000000
10.942257 2.147862 56.000000
10.910282 2.202698 56.000000
10.895519 2.217287 58.000000
10.886678 2.154067 54.000000
10.862671 2.144283 55.000000
10.866237 2.133392 49.000000
10.894874 2.146217 49.000000
10.951464 2.154037 50.000000
10.886436 2.219338 54.000000
10.900337 2.139385 55.000000
10.622149 2.156356 48.000000
10.805015 2.206670 51.000000
10.902623 2.190578 52.000000
10.842936 2.206574 51.000000
10.897746 2.231464 54.000000
10.859688 2.161953 52.000000
10.894066 2.147566 56.000000
10.857719 2.092973 55.000000
10.862230 2.150724 51.000000
10.922799 2.193029 52.000000
10.913573 2.217503 54.000000
10.914442 2.159803 52.000000
10.908923 2.146316 55.000000
10.860076 2.139350 53.000000
10.902218 2.164762 54.000000
10.866165 2.121830 52.000000
10.876376 2.187254 54.000000
10.855939 2.161003 51.000000
10.905271 2.144392 45.000000
10.881045 2.153033 56.000000
10.885447 2.204188 50.000000
10.899742 2.212306 51.000000
10.845323 2.149543 54.000000
10.903226 2.150655 53.000000
10.887102 2.177808 46.000000
10.891701 2.215639 57.000000
10.735665 2.168868 58.000000
10.724211 2.169062 50.000000
10.854151 2.236692 55.000000
10.137877 2.191358 51.000000
10.862528 2.169473 51.000000
10.685591 2.144373 45.000000
10.863113 2.197399 50.000000
10.274818 2.182936 49.000000
10.796285 2.182513 59.000000
10.895620 2.160067 53.000000
10.863591 2.169468 57.000000
10.748307 2.163237 55.000000
10.826484 2.170541 51.000000
10.890212 2.195209 53.000000
10.875370 2.237433 52.000000
10.842990 2.202442 51.000000
10.802877 2.173913 52.000000
10.857975 2.131818 52.000000
10.838188 2.183466 57.000000
10.873312 2.189552 47.000000
10.819735 2.114367 53.000000
10.863857 2.098569 52.000000
10.868862 2.106511 56.000000
10.819669 2.222715 50.000000
10.854342 2.214563 45.000000
10.867571 2.187496 54.000000
10.846914 2.154200 58.000000
10.777540 2.116233 57.000000
10.821728 2.153017 52.000000
10.876201 2.122783 57.000000
10.796077 2.136459 52.000000
10.816153 2.212609 57.000000
10.849630 2.182057 55.000000
10.795175 2.207988 53.000000
10.845865 2.165466 54.000000
10.860799 2.167514 48.000000
10.845488 2.187668 51.000000
10.809466 2.179202 51.000000
10.847571 2.121114 46.000000
10.857872 2.121749 48.000000
10.813337 2.192614 52.000000
10.870302 2.219180 51.000000
10.600671 2.166915 49.000000
10.866935 2.171420 51.000000
10.843127 2.158333 52.000000
10.857977 2.205424 47.000000
10.770828 2.187338 51.000000
10.885573 2.201667 48.000000
10.560082 2.233424 50.000000
10.837497 2.123899 45.000000
10.868027 2.108918 45.000000
10.672610 2.206610 46.000000
10.844257 2.164015 52.000000
10.831099 2.155629 51.000000
10.632648 2.150626 52.000000
10.828966 2.118700 50.000000
10.843617 2.040054 51.000000
10.836510 2.180744 44.000000
10.707750 2.192779 55.000000
10.839446 2.220240 51.000000
10.813990 2.155666 48.000000
10.574591 2.189428 50.000000
