log10(Mass)+10    log10(VelDisp_subhalos)
10.895519 1.838060
10.886678 -inf
10.862671 1.803052
10.866237 2.145952
10.894874 1.891549
10.951464 -inf
10.886436 1.603028
10.900337 1.770370
10.622149 1.497043
10.805015 1.675792
10.902623 -inf
10.842936 1.525173
10.897746 -inf
10.859688 2.184830
10.894066 1.948998
10.857719 1.304188
10.862230 1.874421
10.922799 1.800630
10.913573 -inf
10.914442 -inf
10.908923 1.808324
10.860076 -inf
10.902218 -inf
10.866165 1.942186
10.876376 -inf
10.855939 -inf
10.905271 -inf
10.881045 1.758897
10.885447 1.910825
10.899742 -inf
10.845323 1.450166
10.903226 -inf
10.887102 1.694957
10.891701 1.859720
10.735665 1.749362
10.724211 1.633465
10.854151 1.794647
10.137877 1.836243
10.862528 -inf
10.685591 1.585934
10.863113 -inf
10.274818 2.497568
10.796285 -inf
10.895620 1.749179
10.863591 1.844987
10.748307 1.807544
10.826484 -inf
10.890212 -inf
10.875370 1.883776
10.842990 1.745569
10.802877 1.548064
10.857975 -inf
10.838188 -inf
10.873312 1.730814
10.819735 -inf
10.863857 1.611061
10.868862 1.893659
10.819669 1.720697
10.854342 -inf
10.867571 -inf
10.846914 1.782626
10.777540 1.613473
10.821728 -inf
10.876201 -inf
10.796077 1.652687
10.816153 1.734466
10.849630 1.697202
10.795175 1.796374
10.845865 1.861748
10.860799 -inf
10.845488 -inf
10.809466 1.958142
10.847571 -inf
10.857872 1.740105
10.813337 1.703843
10.870302 -inf
10.600671 2.393849
10.866935 -inf
10.843127 -inf
10.857977 1.848543
10.770828 1.722425
10.885573 -inf
10.560082 1.733105
10.837497 1.741046
10.868027 -inf
10.672610 1.553895
10.844257 1.608539
10.831099 1.342681
10.632648 1.489199
10.828966 1.799334
10.843617 1.810808
10.836510 1.724871
10.707750 1.705792
10.839446 -inf
10.813990 1.943886
10.574591 1.842029
10.825035 1.914093
10.815527 -inf
10.809265 -inf
10.827270 1.833514
10.780199 1.683209
10.814181 1.833754
10.837128 -inf
10.810146 1.611140
10.853825 -inf
10.832408 -inf
10.796720 2.062293
10.815776 1.745223
10.826351 -inf
10.764817 1.613704
10.822206 -inf
10.764699 -inf
10.868757 -inf
10.813603 -inf
10.770445 1.727411
10.735576 -inf
10.797758 1.737467
10.702272 1.658745
10.781745 1.882061
10.745004 1.072229
10.814757 1.815598
10.836553 1.726988
10.787058 -inf
10.823680 -inf
10.780676 -inf
10.841645 -inf
10.824775 -inf
10.819942 1.840834
10.823173 -inf
10.813491 -inf
10.730747 2.035227
10.733866 1.353904
10.776881 1.789372
10.742073 2.002574
10.791353 1.726182
10.825884 -inf
10.729522 1.699198
10.792626 -inf
10.316821 1.749758
10.809751 -inf
10.781518 1.936811
10.787108 1.831943
10.757158 -inf
10.805402 -inf
10.779777 -inf
10.803177 -inf
10.788591 -inf
10.776643 1.826810
10.788502 1.883887
10.622921 1.678768
10.762133 1.580183
10.784734 1.681475
10.820640 1.864896
10.790351 -inf
10.733605 1.777942
10.792465 2.243282
10.788717 1.704480
10.765106 -inf
10.788481 1.283598
10.788207 -inf
10.777565 -inf
10.785186 1.743666
10.791941 1.660115
10.808317 1.897765
10.786542 -inf
10.771067 -inf
10.750357 1.805754
10.742251 1.683007
10.780284 -inf
10.767083 1.682800
10.738389 1.846996
10.780549 -inf
10.741426 1.653386
10.777856 -inf
10.766334 1.765124
10.743228 1.600563
10.556510 1.674439
10.773962 1.812117
10.797916 -inf
10.752483 -inf
10.778929 1.821817
10.735624 1.561949
10.778513 -inf
10.754158 1.725411
10.735498 -inf
10.662518 1.754270
10.785863 -inf
10.742519 1.376265
10.764300 -inf
10.791840 -inf
10.742277 1.716439
10.785190 -inf
10.776858 -inf
10.237800 1.700853
10.765558 -inf
10.728885 -inf
10.740755 1.588988
10.766750 -inf
10.740689 1.691829
10.749232 1.791060
10.472090 1.836349
10.736343 -inf
10.722487 -inf
10.760656 1.799551
10.760103 -inf
10.709530 -inf
10.753357 -inf
10.731979 1.906434
10.746528 1.533697
10.656904 1.783304
10.731726 -inf
10.683213 1.477686
10.740158 1.718671
10.737009 1.413907
10.704847 1.706814
10.719394 -inf
10.733589 1.724022
10.701329 1.525046
10.747761 1.726397
10.705627 1.723187
10.723420 1.793292
10.730311 -inf
10.708762 -inf
10.730059 -inf
10.734003 1.785882
10.714461 1.690692
10.672849 1.736859
10.618376 1.715752
10.700101 1.836169
10.648679 1.766193
10.711181 -inf
10.670745 1.667835
10.742586 -inf
10.740043 1.772418
10.722730 1.870975
10.750654 -inf
10.661500 -inf
10.737565 1.866863
10.679369 -inf
10.628840 1.778054
10.711386 1.757821
10.742409 -inf
10.703033 -inf
10.557227 1.783491
10.679111 1.679870
10.718782 -inf
10.696584 -inf
10.665736 1.664901
10.746202 1.393007
10.547370 1.790163
10.731121 1.846436
10.197133 1.855574
10.721781 -inf
10.701129 -inf
10.082634 1.544121
10.724014 -inf
10.706630 -inf
10.632598 1.854623
10.711968 -inf
10.713755 1.800818
10.623199 1.661978
10.698347 -inf
10.708470 1.805954
10.697431 -inf
10.719150 1.482250
10.669338 1.817997
10.727117 1.780146
10.391804 1.628267
10.693736 1.873893
10.638054 1.417971
10.643834 1.673437
10.673980 -inf
10.680157 -inf
10.614328 1.675106
10.702979 -inf
10.707889 -inf
10.495444 1.510687
10.686716 1.754322
10.697409 -inf
10.659921 1.600681
10.632271 -inf
10.657680 1.616314
10.362704 1.762395
10.695617 -inf
10.676287 -inf
10.546854 2.114475
10.666843 -inf
10.689861 -inf
10.707077 1.889274
10.664286 -inf
10.680484 1.681754
10.713701 1.766577
10.704022 1.809780
10.684521 -inf
10.703583 -inf
10.616972 -inf
10.591760 1.709158
10.577621 -inf
10.304217 -inf
10.715642 -inf
10.679821 -inf
10.540951 1.808518
10.690049 1.487353
10.631993 -inf
10.424717 1.566450
10.639280 -inf
10.703708 1.720837
10.706612 -inf
10.666248 -inf
10.705382 1.788521
10.624420 1.600924
10.574468 1.664917
10.666123 -inf
10.675715 1.799495
10.587315 1.768033
10.700590 -inf
10.673423 1.733755
10.643237 -inf
10.605954 -inf
10.671575 1.719719
10.651030 1.670326
10.597036 1.403837
10.674388 -inf
10.679320 1.781350
10.620281 1.661278
10.673218 -inf
10.664384 -inf
10.662533 -inf
10.692508 -inf
10.605454 1.661048
10.676054 -inf
10.645725 -inf
10.574287 -inf
10.626100 1.669062
10.674756 -inf
10.651259 -inf
10.328465 1.639619
10.693626 -inf
10.675391 -inf
10.637841 -inf
10.644429 1.442048
10.636312 -inf
10.602898 1.687872
10.649582 -inf
10.545368 1.239021
10.634370 -inf
10.654678 2.088443
10.589835 -inf
10.644947 1.753622
10.636204 -inf
10.658531 1.811239
10.661597 -inf
10.598480 1.725512
10.673537 -inf
10.490655 1.702303
10.529254 1.622312
10.602745 1.747592
10.651512 1.803315
10.622960 1.787325
10.670127 1.875765
10.654357 -inf
10.659300 1.751459
10.207427 1.571081
10.587813 1.617456
10.626566 -inf
10.655158 -inf
10.670281 -inf
10.636213 -inf
10.676152 -inf
10.641569 1.744738
10.663666 -inf
10.658367 -inf
10.614908 1.449951
10.644034 -inf
10.647804 -inf
10.607378 1.623200
10.586802 1.719413
10.526351 1.588555
10.600264 1.598049
10.643622 -inf
10.664551 1.814913
10.587500 1.700116
10.648783 1.751055
10.636581 -inf
10.655029 -inf
10.637769 -inf
10.651744 -inf
10.524775 -inf
10.617466 1.654386
10.639614 -inf
10.561014 1.811107
10.645802 1.461775
10.632714 -inf
10.651774 -inf
10.578886 1.693740
10.661616 -inf
10.618276 1.644452
10.466647 1.528145
10.462494 1.479505
