log10(Mass)+10    log10(VelDisp_particles)
11.063889 1.903880
11.078074 1.933794
11.061658 1.962211
10.984389 1.838952
11.005419 1.854193
11.035057 1.905859
11.036276 1.898420
11.017780 1.875227
11.055647 1.909624
11.009595 1.860518
11.044634 1.893478
11.023271 1.887706
10.993619 1.864057
10.985124 1.864917
11.063526 1.927016
11.048463 1.904066
11.027469 1.884156
10.493609 1.830588
11.008564 1.852571
10.699356 1.883784
10.825712 1.821205
11.030837 1.918497
11.011139 1.901420
11.022740 1.886739
11.033259 1.910966
10.921651 1.845457
11.025318 1.882339
11.018320 2.125280
11.024021 1.890698
11.028719 1.891690
11.019788 1.884692
10.989791 1.875911
10.746604 1.803219
11.004287 1.884598
10.991068 1.850804
11.025180 1.912102
10.631523 2.246063
11.014241 1.901271
11.013135 1.902779
10.993186 1.873704
10.966843 1.868614
10.985922 1.967178
10.991528 1.867838
10.963499 1.904367
11.023450 2.003647
11.004752 1.887503
10.942871 1.829199
10.986780 1.863584
10.977157 1.898736
11.021589 1.906866
10.897041 1.817122
11.003705 1.890397
11.003313 1.949298
10.942281 1.848812
10.893417 1.825743
10.952861 1.862539
10.931126 1.840286
11.026890 1.905798
10.927919 1.888353
10.998139 1.878864
10.820435 1.822189
10.952638 1.863299
10.978587 1.884027
10.939107 1.834973
10.911756 1.833201
10.986052 1.893394
10.978366 1.865755
10.933239 1.855512
10.990068 1.880788
10.916336 1.841930
10.997687 1.904978
10.965582 1.871994
10.970034 1.902421
10.970934 1.864023
10.947568 1.875183
10.909779 1.841705
10.811832 1.807655
10.925969 1.884786
10.897867 1.865353
10.934529 1.975879
10.950094 1.851834
10.972005 1.868654
10.936237 1.857179
10.537079 1.766516
10.919312 1.846052
10.709408 2.274945
10.959308 1.865767
10.973210 1.889303
10.943988 1.859874
10.963242 1.876016
10.962279 1.873818
10.839710 1.999508
10.966201 1.873438
10.754727 1.815150
10.927838 1.838367
10.952854 1.870931
10.839222 1.812125
10.913505 1.841553
10.889850 1.825049
10.959912 1.868657
10.914750 1.855657
10.935980 1.858388
10.935978 1.873338
10.893620 1.866688
10.875471 1.846942
10.946679 1.863647
10.697676 1.772123
10.780800 1.808624
10.875039 1.832070
10.934497 1.861147
10.709341 1.753904
10.939784 1.871836
10.939262 1.858691
10.924437 1.858055
10.917315 1.842353
10.942587 1.864212
10.915973 1.843602
10.901445 1.859436
10.937119 1.852442
10.909155 1.861373
10.929392 1.912839
10.913311 1.837071
10.527349 1.818476
10.802813 1.805549
