No. Number M200 sigma200 R200 Sigma M_sigma Sigma_LoS
202.0 1.0 164.757 135.7967 0.1921 0.0 0.0 0.0
203.0 1.0 173.56 138.1713 0.1955 0.0 0.0 0.0
204.0 1.0 171.0604 137.5081 0.1945 0.0 0.0 0.0
205.0 1.0 175.7336 138.7469 0.1963 0.0 0.0 0.0
206.0 2.0 189.7532 142.343 0.2014 101.367 96.2299 27.9015
207.0 2.0 102.8101 116.0449 0.1641 37.3024 10.6233 16.9816
208.0 1.0 143.8907 129.8048 0.1836 0.0 0.0 0.0
209.0 1.0 147.2598 130.8093 0.185 0.0 0.0 0.0
210.0 1.0 159.9752 134.4732 0.1902 0.0 0.0 0.0
211.0 2.0 169.4302 137.0662 0.1939 119.0899 127.9028 53.6019
212.0 1.0 172.7993 137.969 0.1952 0.0 0.0 0.0
213.0 1.0 148.0205 131.0338 0.1854 0.0 0.0 0.0
214.0 3.0 156.4975 133.4918 0.1888 142.7671 179.0006 61.6628
215.0 1.0 92.1596 111.8904 0.1583 0.0 0.0 0.0
216.0 2.0 127.5889 124.7034 0.1764 102.0087 85.3751 39.6215
217.0 2.0 155.9541 133.3322 0.1886 87.0769 66.5169 64.5617
218.0 2.0 131.8274 126.0687 0.1783 103.1853 88.3134 34.8916
219.0 2.0 163.3442 135.4073 0.1915 97.8232 85.2517 85.6335
220.0 3.0 111.3958 119.1891 0.1686 148.992 174.0691 72.2891
221.0 3.0 145.9556 130.4246 0.1845 116.6552 116.7643 67.029
222.0 2.0 154.6499 132.964 0.1881 137.6921 165.844 28.0092
223.0 1.0 158.8884 134.1647 0.1898 0.0 0.0 0.0
224.0 2.0 141.3911 129.0484 0.1825 125.6059 133.9481 95.3763
225.0 1.0 143.0213 129.5442 0.1832 0.0 0.0 0.0
226.0 1.0 132.9142 126.416 0.1788 0.0 0.0 0.0
227.0 2.0 130.7406 125.7212 0.1778 68.2287 38.506 47.8305
228.0 1.0 126.6108 124.385 0.1759 0.0 0.0 0.0
229.0 1.0 149.8681 131.5761 0.1861 0.0 0.0 0.0
230.0 1.0 119.112 121.8787 0.1724 0.0 0.0 0.0
231.0 1.0 138.2394 128.0836 0.1812 0.0 0.0 0.0
232.0 3.0 150.8462 131.8624 0.1865 177.6352 273.7477 127.9736
233.0 2.0 27.7131 74.9601 0.106 40.6703 8.1579 23.3844
234.0 1.0 146.6077 130.6135 0.1848 0.0 0.0 0.0
235.0 1.0 149.216 131.3846 0.1859 0.0 0.0 0.0
236.0 1.0 52.7092 92.8779 0.1314 0.0 0.0 0.0
237.0 1.0 119.0033 121.8416 0.1723 0.0 0.0 0.0
238.0 1.0 143.2386 129.6097 0.1833 0.0 0.0 0.0
239.0 1.0 141.3911 129.0479 0.1825 0.0 0.0 0.0
240.0 1.0 156.3888 133.4586 0.1888 0.0 0.0 0.0
241.0 1.0 136.8266 127.6438 0.1806 0.0 0.0 0.0
