No. Number M200 sigma200 R200 Sigma M_sigma Sigma_LoS
170.0 3.0 212.68 147.86 0.2092 138.92 187.73 119.42
171.0 0.0 183.12 140.67 0.199 nan nan nan
172.0 0.0 152.37 132.3 0.1872 nan nan nan
173.0 3.0 168.67 136.86 0.1936 191.59 330.54 140.56
174.0 0.0 227.03 151.11 0.2138 nan nan nan
175.0 1.0 208.88 146.97 0.2079 0.0 0.0 0.0
176.0 1.0 200.51 144.98 0.2051 0.0 0.0 0.0
177.0 1.0 215.51 148.51 0.2101 0.0 0.0 0.0
178.0 1.0 197.25 144.19 0.204 0.0 0.0 0.0
179.0 1.0 116.18 120.87 0.171 0.0 0.0 0.0
180.0 3.0 160.08 134.5 0.1903 85.71 65.01 29.83
181.0 2.0 180.95 140.11 0.1982 134.65 167.13 102.53
182.0 1.0 221.92 149.97 0.2121 0.0 0.0 0.0
183.0 1.0 198.01 144.38 0.2042 0.0 0.0 0.0
184.0 1.0 175.41 138.66 0.1961 0.0 0.0 0.0
185.0 0.0 78.9 106.24 0.1503 nan nan nan
186.0 2.0 165.84 136.1 0.1925 90.21 72.86 15.96
187.0 0.0 161.06 134.77 0.1906 nan nan nan
188.0 2.0 183.78 140.83 0.1992 85.51 67.74 23.99
189.0 0.0 125.31 123.96 0.1753 nan nan nan
190.0 1.0 146.93 130.71 0.1849 0.0 0.0 0.0
191.0 0.0 176.71 139.0 0.1966 nan nan nan
192.0 1.0 157.58 133.8 0.1893 0.0 0.0 0.0
193.0 2.0 193.01 143.15 0.2025 67.59 43.03 46.23
194.0 0.0 176.06 138.84 0.1964 nan nan nan
195.0 0.0 191.6 142.8 0.202 nan nan nan
196.0 0.0 180.95 140.11 0.1982 nan nan nan
197.0 0.0 170.84 137.45 0.1944 nan nan nan
198.0 2.0 198.56 144.51 0.2044 220.93 464.08 58.12
199.0 1.0 177.91 139.32 0.1971 0.0 0.0 0.0
200.0 1.0 196.38 143.98 0.2037 0.0 0.0 0.0
201.0 1.0 159.32 134.29 0.1899 0.0 0.0 0.0
202.0 0.0 164.76 135.8 0.1921 nan nan nan
203.0 0.0 173.56 138.17 0.1955 nan nan nan
204.0 3.0 171.06 137.51 0.1945 226.25 463.09 78.48
205.0 0.0 175.73 138.75 0.1963 nan nan nan
206.0 1.0 189.75 142.34 0.2014 0.0 0.0 0.0
207.0 3.0 102.81 116.04 0.1641 86.15 56.66 68.78
208.0 0.0 143.89 129.8 0.1836 nan nan nan
209.0 0.0 147.26 130.81 0.185 nan nan nan
210.0 1.0 159.98 134.47 0.1902 0.0 0.0 0.0
211.0 1.0 169.43 137.07 0.1939 0.0 0.0 0.0
212.0 1.0 172.8 137.97 0.1952 0.0 0.0 0.0
213.0 0.0 148.02 131.03 0.1854 nan nan nan
214.0 2.0 156.5 133.49 0.1888 67.08 39.52 60.16
215.0 1.0 92.16 111.89 0.1583 0.0 0.0 0.0
216.0 0.0 127.59 124.7 0.1764 nan nan nan
217.0 0.0 155.95 133.33 0.1886 nan nan nan
218.0 0.0 131.83 126.07 0.1783 nan nan nan
219.0 1.0 163.34 135.41 0.1915 0.0 0.0 0.0
220.0 2.0 111.4 119.19 0.1686 125.69 123.88 56.1
221.0 2.0 145.96 130.42 0.1845 130.05 145.13 70.41
222.0 2.0 154.65 132.96 0.1881 122.13 130.48 39.11
223.0 1.0 158.89 134.16 0.1898 0.0 0.0 0.0
224.0 0.0 141.39 129.05 0.1825 nan nan nan
225.0 0.0 143.02 129.54 0.1832 nan nan nan
226.0 0.0 132.91 126.42 0.1788 nan nan nan
227.0 3.0 130.74 125.72 0.1778 108.02 96.52 41.05
228.0 1.0 126.61 124.38 0.1759 0.0 0.0 0.0
229.0 0.0 149.87 131.58 0.1861 nan nan nan
230.0 0.0 119.11 121.88 0.1724 nan nan nan
231.0 1.0 138.24 128.08 0.1812 0.0 0.0 0.0
232.0 2.0 150.85 131.86 0.1865 60.5 31.76 36.76
233.0 0.0 27.71 74.96 0.106 nan nan nan
234.0 2.0 146.61 130.61 0.1848 168.14 242.95 106.22
235.0 1.0 149.22 131.38 0.1859 0.0 0.0 0.0
236.0 1.0 52.71 92.88 0.1314 0.0 0.0 0.0
237.0 1.0 119.0 121.84 0.1723 0.0 0.0 0.0
238.0 0.0 143.24 129.61 0.1833 nan nan nan
239.0 1.0 141.39 129.05 0.1825 0.0 0.0 0.0
240.0 1.0 156.39 133.46 0.1888 0.0 0.0 0.0
241.0 1.0 136.83 127.64 0.1806 0.0 0.0 0.0
242.0 1.0 123.46 123.34 0.1745 0.0 0.0 0.0
243.0 1.0 139.76 128.55 0.1818 0.0 0.0 0.0
244.0 0.0 58.9 96.38 0.1363 nan nan nan
245.0 2.0 139.11 128.35 0.1816 35.56 10.68 31.37
246.0 2.0 145.52 130.29 0.1843 157.39 212.34 77.57
247.0 2.0 124.0 123.52 0.1747 190.66 295.42 86.64
248.0 1.0 149.0 131.32 0.1858 0.0 0.0 0.0
249.0 0.0 135.74 127.31 0.1801 nan nan nan
250.0 1.0 132.26 126.21 0.1785 0.0 0.0 0.0
251.0 0.0 128.35 124.95 0.1767 nan nan nan
252.0 2.0 132.48 126.28 0.1786 128.84 137.92 109.15
253.0 1.0 82.6 107.88 0.1526 0.0 0.0 0.0
254.0 2.0 121.83 122.8 0.1737 79.32 50.83 60.36
255.0 1.0 124.87 123.81 0.1751 0.0 0.0 0.0
256.0 0.0 130.96 125.8 0.1779 nan nan nan
257.0 0.0 128.35 124.95 0.1767 nan nan nan
258.0 1.0 96.29 113.54 0.1606 0.0 0.0 0.0
259.0 1.0 140.3 128.72 0.1821 0.0 0.0 0.0
260.0 1.0 122.48 123.02 0.174 0.0 0.0 0.0
261.0 0.0 118.89 121.8 0.1723 nan nan nan
262.0 1.0 119.33 121.95 0.1725 0.0 0.0 0.0
263.0 0.0 41.84 86.0 0.1216 nan nan nan
264.0 0.0 102.38 115.88 0.1639 nan nan nan
265.0 1.0 112.16 119.46 0.169 0.0 0.0 0.0
266.0 0.0 69.55 101.87 0.1441 nan nan nan
267.0 2.0 80.86 107.12 0.1515 34.71 8.49 15.23
268.0 0.0 134.54 126.93 0.1795 nan nan nan
269.0 2.0 100.85 115.3 0.1631 81.93 50.92 29.3
270.0 1.0 115.96 120.79 0.1709 0.0 0.0 0.0
271.0 0.0 62.06 98.07 0.1387 nan nan nan
272.0 1.0 130.09 125.51 0.1775 0.0 0.0 0.0
273.0 1.0 65.1 99.65 0.141 0.0 0.0 0.0
274.0 1.0 116.07 120.83 0.1709 0.0 0.0 0.0
275.0 0.0 108.24 118.05 0.167 nan nan nan
276.0 3.0 102.81 116.04 0.1641 139.04 147.59 64.66
277.0 0.0 99.01 114.59 0.1621 nan nan nan
278.0 1.0 126.83 124.46 0.176 0.0 0.0 0.0
279.0 2.0 114.33 120.22 0.1701 106.83 90.28 90.54
280.0 0.0 121.5 122.69 0.1736 nan nan nan
281.0 0.0 110.64 118.92 0.1682 nan nan nan
282.0 0.0 74.01 104.0 0.1471 nan nan nan
283.0 0.0 112.37 119.54 0.1691 nan nan nan
