No. Number M200 sigma200 R200 Sigma M_sigma Sigma_LoS
3892.0 0.0 5.22 42.96 0.0608 nan nan nan
3893.0 0.0 4.67 41.41 0.0586 nan nan nan
3894.0 0.0 5.43 43.55 0.0616 nan nan nan
3895.0 0.0 5.98 44.96 0.0636 nan nan nan
3896.0 0.0 5.65 44.12 0.0624 nan nan nan
3897.0 0.0 6.09 45.23 0.064 nan nan nan
3898.0 0.0 4.89 42.05 0.0595 nan nan nan
3899.0 0.0 6.09 45.23 0.064 nan nan nan
3900.0 1.0 6.41 46.02 0.0651 0.0 0.0 0.0
3901.0 0.0 0.0 nan 0.0 nan nan nan
3902.0 1.0 5.76 44.4 0.0628 0.0 0.0 0.0
3903.0 0.0 4.24 40.09 0.0567 nan nan nan
3904.0 0.0 4.89 42.05 0.0595 nan nan nan
3905.0 0.0 4.78 41.73 0.059 nan nan nan
3906.0 0.0 4.89 42.05 0.0595 nan nan nan
3907.0 0.0 7.61 48.72 0.0689 nan nan nan
3908.0 0.0 5.0 42.36 0.0599 nan nan nan
3909.0 0.0 5.33 43.26 0.0612 nan nan nan
3910.0 0.0 4.56 41.09 0.0581 nan nan nan
3911.0 0.0 5.76 44.4 0.0628 nan nan nan
3912.0 0.0 4.46 40.76 0.0577 nan nan nan
3913.0 0.0 4.46 40.76 0.0577 nan nan nan
3914.0 0.0 4.56 41.09 0.0581 nan nan nan
3915.0 0.0 6.74 46.79 0.0662 nan nan nan
3916.0 0.0 6.19 45.49 0.0644 nan nan nan
3917.0 0.0 6.74 46.79 0.0662 nan nan nan
3918.0 0.0 7.5 48.48 0.0686 nan nan nan
3919.0 0.0 5.65 44.12 0.0624 nan nan nan
3920.0 1.0 6.85 47.04 0.0665 0.0 0.0 0.0
3921.0 0.0 6.19 45.49 0.0644 nan nan nan
3922.0 0.0 2.5 33.62 0.0476 nan nan nan
3923.0 0.0 5.11 42.66 0.0603 nan nan nan
3924.0 0.0 6.3 45.76 0.0647 nan nan nan
3925.0 0.0 6.19 45.49 0.0644 nan nan nan
3926.0 0.0 4.78 41.73 0.059 nan nan nan
3927.0 0.0 7.39 48.25 0.0683 nan nan nan
3928.0 0.0 3.48 37.53 0.0531 nan nan nan
3929.0 0.0 7.28 48.01 0.0679 nan nan nan
3930.0 0.0 6.74 46.79 0.0662 nan nan nan
3931.0 0.0 4.78 41.73 0.059 nan nan nan
3932.0 0.0 6.3 45.76 0.0647 nan nan nan
3933.0 0.0 6.09 45.23 0.064 nan nan nan
3934.0 0.0 3.26 36.73 0.052 nan nan nan
3935.0 0.0 6.63 46.53 0.0658 nan nan nan
3936.0 0.0 6.74 46.79 0.0662 nan nan nan
3937.0 0.0 6.3 45.76 0.0647 nan nan nan
3938.0 0.0 6.3 45.76 0.0647 nan nan nan
3939.0 0.0 5.43 43.55 0.0616 nan nan nan
3940.0 0.0 7.06 47.53 0.0672 nan nan nan
3941.0 0.0 5.76 44.4 0.0628 nan nan nan
3942.0 0.0 6.41 46.02 0.0651 nan nan nan
3943.0 0.0 5.33 43.26 0.0612 nan nan nan
3944.0 0.0 2.39 33.12 0.0469 nan nan nan
3945.0 0.0 6.19 45.49 0.0644 nan nan nan
3946.0 0.0 6.3 45.76 0.0647 nan nan nan
3947.0 0.0 6.09 45.23 0.064 nan nan nan
3948.0 0.0 6.19 45.49 0.0644 nan nan nan
3949.0 0.0 3.48 37.53 0.0531 nan nan nan
3950.0 0.0 6.09 45.23 0.064 nan nan nan
3951.0 0.0 5.22 42.96 0.0608 nan nan nan
3952.0 0.0 6.09 45.23 0.064 nan nan nan
3953.0 0.0 5.43 43.55 0.0616 nan nan nan
3954.0 0.0 5.76 44.4 0.0628 nan nan nan
3955.0 0.0 3.48 37.53 0.0531 nan nan nan
3956.0 0.0 2.61 34.1 0.0482 nan nan nan
3957.0 0.0 6.09 45.23 0.064 nan nan nan
3958.0 0.0 5.65 44.12 0.0624 nan nan nan
3959.0 0.0 5.98 44.95 0.0636 nan nan nan
3960.0 0.0 7.06 47.53 0.0672 nan nan nan
3961.0 0.0 5.87 44.68 0.0632 nan nan nan
3962.0 0.0 0.87 23.64 0.0334 nan nan nan
3963.0 0.0 6.19 45.49 0.0644 nan nan nan
3964.0 0.0 5.22 42.96 0.0608 nan nan nan
3965.0 0.0 5.43 43.55 0.0616 nan nan nan
3966.0 0.0 5.43 43.55 0.0616 nan nan nan
3967.0 0.0 5.33 43.26 0.0612 nan nan nan
3968.0 0.0 6.19 45.49 0.0644 nan nan nan
3969.0 0.0 6.52 46.28 0.0655 nan nan nan
3970.0 0.0 2.39 33.12 0.0469 nan nan nan
3971.0 0.0 1.85 30.4 0.043 nan nan nan
3972.0 0.0 6.3 45.76 0.0647 nan nan nan
3973.0 0.0 5.11 42.66 0.0603 nan nan nan
3974.0 0.0 5.65 44.12 0.0624 nan nan nan
3975.0 0.0 6.3 45.76 0.0647 nan nan nan
3976.0 0.0 4.67 41.41 0.0586 nan nan nan
3977.0 0.0 7.17 47.77 0.0676 nan nan nan
3978.0 0.0 4.67 41.41 0.0586 nan nan nan
3979.0 0.0 6.96 47.29 0.0669 nan nan nan
3980.0 0.0 5.43 43.55 0.0616 nan nan nan
3981.0 0.0 5.87 44.68 0.0632 nan nan nan
3982.0 0.0 0.87 23.64 0.0334 nan nan nan
3983.0 0.0 5.65 44.12 0.0624 nan nan nan
3984.0 0.0 4.89 42.05 0.0595 nan nan nan
3985.0 1.0 4.89 42.05 0.0595 0.0 0.0 0.0
3986.0 0.0 5.76 44.4 0.0628 nan nan nan
3987.0 0.0 7.06 47.53 0.0672 nan nan nan
3988.0 0.0 0.0 nan 0.0 nan nan nan
3989.0 0.0 5.33 43.26 0.0612 nan nan nan
3990.0 0.0 6.74 46.79 0.0662 nan nan nan
3991.0 0.0 6.3 45.76 0.0647 nan nan nan
3992.0 0.0 4.78 41.73 0.059 nan nan nan
3993.0 0.0 6.41 46.02 0.0651 nan nan nan
3994.0 0.0 5.43 43.55 0.0616 nan nan nan
3995.0 0.0 5.0 42.36 0.0599 nan nan nan
3996.0 0.0 6.96 47.29 0.0669 nan nan nan
3997.0 0.0 3.26 36.73 0.052 nan nan nan
3998.0 0.0 5.98 44.96 0.0636 nan nan nan
3999.0 0.0 2.72 34.57 0.0489 nan nan nan
4000.0 0.0 3.15 36.32 0.0514 nan nan nan
4001.0 0.0 6.19 45.49 0.0644 nan nan nan
4002.0 0.0 4.02 39.39 0.0557 nan nan nan
4003.0 0.0 3.8 38.67 0.0547 nan nan nan
4004.0 0.0 5.11 42.66 0.0603 nan nan nan
4005.0 0.0 6.96 47.29 0.0669 nan nan nan
4006.0 0.0 3.91 39.03 0.0552 nan nan nan
4007.0 0.0 6.41 46.02 0.0651 nan nan nan
4008.0 0.0 6.96 47.29 0.0669 nan nan nan
4009.0 0.0 5.54 43.84 0.062 nan nan nan
4010.0 0.0 6.52 46.28 0.0655 nan nan nan
4011.0 0.0 6.19 45.49 0.0644 nan nan nan
4012.0 0.0 6.41 46.02 0.0651 nan nan nan
4013.0 0.0 6.09 45.23 0.064 nan nan nan
4014.0 0.0 3.91 39.03 0.0552 nan nan nan
4015.0 0.0 6.41 46.02 0.0651 nan nan nan
4016.0 0.0 2.61 34.1 0.0482 nan nan nan
4017.0 0.0 6.09 45.23 0.064 nan nan nan
4018.0 0.0 5.0 42.36 0.0599 nan nan nan
4019.0 0.0 5.65 44.12 0.0624 nan nan nan
4020.0 0.0 6.74 46.79 0.0662 nan nan nan
4021.0 0.0 6.09 45.23 0.064 nan nan nan
4022.0 0.0 7.17 47.77 0.0676 nan nan nan
4023.0 0.0 5.33 43.26 0.0612 nan nan nan
4024.0 0.0 5.76 44.4 0.0628 nan nan nan
4025.0 0.0 5.33 43.26 0.0612 nan nan nan
4026.0 0.0 2.83 35.02 0.0495 nan nan nan
4027.0 0.0 3.8 38.67 0.0547 nan nan nan
4028.0 0.0 5.54 43.84 0.062 nan nan nan
4029.0 0.0 7.61 48.72 0.0689 nan nan nan
4030.0 0.0 5.22 42.96 0.0608 nan nan nan
4031.0 0.0 4.56 41.09 0.0581 nan nan nan
4032.0 0.0 6.41 46.02 0.0651 nan nan nan
4033.0 0.0 4.35 40.43 0.0572 nan nan nan
4034.0 0.0 6.52 46.28 0.0655 nan nan nan
4035.0 0.0 6.09 45.23 0.064 nan nan nan
4036.0 0.0 4.35 40.43 0.0572 nan nan nan
4037.0 0.0 2.83 35.02 0.0495 nan nan nan
4038.0 0.0 6.96 47.28 0.0669 nan nan nan
4039.0 0.0 7.06 47.53 0.0672 nan nan nan
4040.0 0.0 5.87 44.68 0.0632 nan nan nan
4041.0 0.0 5.65 44.12 0.0624 nan nan nan
4042.0 0.0 5.65 44.12 0.0624 nan nan nan
4043.0 0.0 5.22 42.96 0.0608 nan nan nan
4044.0 0.0 7.39 48.25 0.0682 nan nan nan
4045.0 0.0 4.67 41.41 0.0586 nan nan nan
4046.0 0.0 2.93 35.46 0.0502 nan nan nan
4047.0 0.0 5.22 42.96 0.0608 nan nan nan
4048.0 0.0 5.65 44.12 0.0624 nan nan nan
4049.0 0.0 5.98 44.96 0.0636 nan nan nan
4050.0 0.0 3.15 36.32 0.0514 nan nan nan
4051.0 0.0 5.98 44.96 0.0636 nan nan nan
4052.0 0.0 6.74 46.79 0.0662 nan nan nan
4053.0 1.0 6.63 46.53 0.0658 0.0 0.0 0.0
4054.0 0.0 4.56 41.09 0.0581 nan nan nan
4055.0 0.0 6.41 46.02 0.0651 nan nan nan
4056.0 0.0 6.41 46.02 0.0651 nan nan nan
4057.0 0.0 5.43 43.55 0.0616 nan nan nan
4058.0 0.0 5.76 44.4 0.0628 nan nan nan
4059.0 0.0 5.76 44.4 0.0628 nan nan nan
4060.0 0.0 6.85 47.04 0.0665 nan nan nan
4061.0 0.0 5.76 44.4 0.0628 nan nan nan
4062.0 0.0 3.91 39.03 0.0552 nan nan nan
4063.0 0.0 5.54 43.84 0.062 nan nan nan
4064.0 0.0 6.19 45.49 0.0644 nan nan nan
4065.0 0.0 4.89 42.05 0.0595 nan nan nan
4066.0 0.0 4.35 40.43 0.0572 nan nan nan
4067.0 0.0 6.74 46.79 0.0662 nan nan nan
4068.0 0.0 5.43 43.55 0.0616 nan nan nan
4069.0 0.0 5.54 43.84 0.062 nan nan nan
4070.0 0.0 5.43 43.55 0.0616 nan nan nan
4071.0 0.0 3.91 39.03 0.0552 nan nan nan
4072.0 0.0 6.52 46.28 0.0655 nan nan nan
4073.0 0.0 5.11 42.66 0.0603 nan nan nan
4074.0 0.0 6.85 47.04 0.0665 nan nan nan
4075.0 0.0 6.09 45.23 0.064 nan nan nan
4076.0 0.0 3.48 37.53 0.0531 nan nan nan
4077.0 0.0 4.89 42.05 0.0595 nan nan nan
4078.0 0.0 4.89 42.05 0.0595 nan nan nan
4079.0 0.0 4.24 40.09 0.0567 nan nan nan
4080.0 0.0 5.43 43.55 0.0616 nan nan nan
4081.0 0.0 6.41 46.02 0.0651 nan nan nan
4082.0 0.0 5.33 43.26 0.0612 nan nan nan
4083.0 0.0 5.98 44.95 0.0636 nan nan nan
4084.0 0.0 5.43 43.55 0.0616 nan nan nan
4085.0 0.0 5.87 44.68 0.0632 nan nan nan
4086.0 0.0 6.19 45.49 0.0644 nan nan nan
4087.0 0.0 0.0 nan 0.0 nan nan nan
4088.0 0.0 4.67 41.41 0.0586 nan nan nan
4089.0 0.0 5.22 42.96 0.0608 nan nan nan
4090.0 0.0 5.11 42.66 0.0603 nan nan nan
4091.0 0.0 5.22 42.96 0.0608 nan nan nan
4092.0 0.0 5.0 42.36 0.0599 nan nan nan
4093.0 0.0 5.33 43.26 0.0612 nan nan nan
4094.0 0.0 4.02 39.39 0.0557 nan nan nan
4095.0 0.0 6.3 45.76 0.0647 nan nan nan
4096.0 0.0 5.65 44.12 0.0624 nan nan nan
4097.0 0.0 5.0 42.36 0.0599 nan nan nan
4098.0 0.0 4.24 40.09 0.0567 nan nan nan
4099.0 0.0 5.87 44.68 0.0632 nan nan nan
4100.0 0.0 5.43 43.55 0.0616 nan nan nan
4101.0 1.0 6.41 46.02 0.0651 0.0 0.0 0.0
4102.0 0.0 5.54 43.84 0.062 nan nan nan
4103.0 0.0 5.54 43.84 0.062 nan nan nan
4104.0 0.0 5.76 44.4 0.0628 nan nan nan
4105.0 0.0 6.52 46.28 0.0655 nan nan nan
4106.0 0.0 4.89 42.05 0.0595 nan nan nan
4107.0 0.0 5.65 44.12 0.0624 nan nan nan
4108.0 0.0 5.22 42.96 0.0608 nan nan nan
4109.0 0.0 6.3 45.76 0.0647 nan nan nan
4110.0 0.0 6.09 45.23 0.064 nan nan nan
4111.0 0.0 6.63 46.53 0.0658 nan nan nan
4112.0 0.0 5.0 42.36 0.0599 nan nan nan
4113.0 0.0 5.76 44.4 0.0628 nan nan nan
4114.0 0.0 5.33 43.26 0.0612 nan nan nan
4115.0 0.0 4.13 39.74 0.0562 nan nan nan
4116.0 0.0 4.56 41.09 0.0581 nan nan nan
4117.0 0.0 5.87 44.68 0.0632 nan nan nan
4118.0 0.0 5.43 43.55 0.0616 nan nan nan
4119.0 0.0 5.65 44.12 0.0624 nan nan nan
4120.0 0.0 5.0 42.36 0.0599 nan nan nan
4121.0 0.0 6.63 46.53 0.0658 nan nan nan
4122.0 0.0 6.52 46.28 0.0655 nan nan nan
4123.0 0.0 5.87 44.68 0.0632 nan nan nan
4124.0 0.0 4.02 39.39 0.0557 nan nan nan
4125.0 0.0 6.85 47.04 0.0665 nan nan nan
4126.0 0.0 5.98 44.96 0.0636 nan nan nan
4127.0 0.0 2.93 35.46 0.0502 nan nan nan
4128.0 0.0 4.56 41.09 0.0581 nan nan nan
4129.0 0.0 6.3 45.76 0.0647 nan nan nan
4130.0 0.0 4.46 40.76 0.0577 nan nan nan
4131.0 0.0 0.0 nan 0.0 nan nan nan
4132.0 0.0 4.78 41.73 0.059 nan nan nan
4133.0 0.0 5.22 42.96 0.0608 nan nan nan
4134.0 0.0 3.59 37.92 0.0536 nan nan nan
4135.0 0.0 6.52 46.28 0.0655 nan nan nan
4136.0 0.0 3.7 38.3 0.0542 nan nan nan
4137.0 0.0 4.24 40.09 0.0567 nan nan nan
4138.0 0.0 4.24 40.09 0.0567 nan nan nan
4139.0 0.0 0.0 nan 0.0 nan nan nan
4140.0 0.0 5.76 44.4 0.0628 nan nan nan
4141.0 0.0 6.85 47.04 0.0665 nan nan nan
4142.0 0.0 2.39 33.12 0.0469 nan nan nan
4143.0 0.0 5.33 43.26 0.0612 nan nan nan
4144.0 0.0 4.78 41.73 0.059 nan nan nan
4145.0 0.0 5.76 44.4 0.0628 nan nan nan
4146.0 0.0 5.0 42.36 0.0599 nan nan nan
4147.0 0.0 5.87 44.68 0.0632 nan nan nan
4148.0 1.0 5.11 42.66 0.0603 0.0 0.0 0.0
4149.0 1.0 6.74 46.79 0.0662 0.0 0.0 0.0
4150.0 0.0 6.19 45.49 0.0644 nan nan nan
4151.0 0.0 6.3 45.76 0.0647 nan nan nan
4152.0 0.0 5.54 43.84 0.062 nan nan nan
4153.0 0.0 3.15 36.32 0.0514 nan nan nan
4154.0 0.0 4.78 41.73 0.059 nan nan nan
4155.0 0.0 4.78 41.73 0.059 nan nan nan
4156.0 1.0 5.0 42.36 0.0599 0.0 0.0 0.0
4157.0 0.0 4.02 39.39 0.0557 nan nan nan
4158.0 0.0 6.09 45.23 0.064 nan nan nan
4159.0 0.0 3.48 37.53 0.0531 nan nan nan
4160.0 0.0 5.0 42.36 0.0599 nan nan nan
4161.0 0.0 1.41 27.8 0.0393 nan nan nan
4162.0 0.0 6.3 45.76 0.0647 nan nan nan
4163.0 0.0 3.26 36.73 0.052 nan nan nan
4164.0 0.0 5.11 42.66 0.0603 nan nan nan
4165.0 0.0 5.0 42.36 0.0599 nan nan nan
4166.0 0.0 4.13 39.74 0.0562 nan nan nan
4167.0 0.0 3.7 38.3 0.0542 nan nan nan
4168.0 0.0 6.09 45.23 0.064 nan nan nan
4169.0 0.0 5.76 44.4 0.0628 nan nan nan
4170.0 0.0 5.87 44.68 0.0632 nan nan nan
4171.0 0.0 5.76 44.4 0.0628 nan nan nan
4172.0 0.0 5.65 44.12 0.0624 nan nan nan
4173.0 0.0 5.54 43.84 0.062 nan nan nan
4174.0 0.0 4.78 41.73 0.059 nan nan nan
4175.0 0.0 4.02 39.39 0.0557 nan nan nan
4176.0 0.0 3.91 39.03 0.0552 nan nan nan
4177.0 0.0 5.11 42.66 0.0603 nan nan nan
4178.0 0.0 5.98 44.95 0.0636 nan nan nan
4179.0 0.0 6.19 45.49 0.0644 nan nan nan
4180.0 0.0 4.56 41.09 0.0581 nan nan nan
4181.0 0.0 4.24 40.09 0.0567 nan nan nan
4182.0 0.0 5.33 43.26 0.0612 nan nan nan
4183.0 0.0 2.39 33.12 0.0469 nan nan nan
4184.0 0.0 6.74 46.79 0.0662 nan nan nan
4185.0 0.0 6.19 45.49 0.0644 nan nan nan
4186.0 0.0 2.61 34.1 0.0482 nan nan nan
4187.0 0.0 3.26 36.73 0.052 nan nan nan
4188.0 0.0 4.24 40.09 0.0567 nan nan nan
4189.0 0.0 4.24 40.09 0.0567 nan nan nan
4190.0 0.0 5.65 44.12 0.0624 nan nan nan
4191.0 0.0 6.41 46.02 0.0651 nan nan nan
4192.0 0.0 5.65 44.12 0.0624 nan nan nan
4193.0 0.0 5.54 43.84 0.062 nan nan nan
4194.0 0.0 5.0 42.36 0.0599 nan nan nan
4195.0 0.0 6.85 47.04 0.0665 nan nan nan
4196.0 0.0 4.89 42.05 0.0595 nan nan nan
4197.0 0.0 6.09 45.23 0.064 nan nan nan
4198.0 0.0 5.33 43.26 0.0612 nan nan nan
4199.0 0.0 4.02 39.39 0.0557 nan nan nan
4200.0 0.0 5.87 44.68 0.0632 nan nan nan
4201.0 0.0 3.04 35.9 0.0508 nan nan nan
4202.0 0.0 6.19 45.49 0.0644 nan nan nan
4203.0 0.0 6.74 46.79 0.0662 nan nan nan
4204.0 0.0 5.65 44.12 0.0624 nan nan nan
4205.0 0.0 5.11 42.66 0.0603 nan nan nan
4206.0 0.0 5.87 44.68 0.0632 nan nan nan
4207.0 0.0 5.98 44.95 0.0636 nan nan nan
4208.0 1.0 3.8 38.67 0.0547 0.0 0.0 0.0
4209.0 0.0 4.78 41.73 0.059 nan nan nan
4210.0 1.0 6.74 46.79 0.0662 0.0 0.0 0.0
4211.0 0.0 3.48 37.53 0.0531 nan nan nan
4212.0 0.0 6.3 45.76 0.0647 nan nan nan
4213.0 0.0 5.22 42.96 0.0608 nan nan nan
4214.0 0.0 5.43 43.55 0.0616 nan nan nan
4215.0 0.0 3.04 35.9 0.0508 nan nan nan
4216.0 1.0 5.33 43.26 0.0612 0.0 0.0 0.0
4217.0 0.0 6.3 45.76 0.0647 nan nan nan
4218.0 0.0 5.22 42.96 0.0608 nan nan nan
4219.0 0.0 6.3 45.76 0.0647 nan nan nan
4220.0 0.0 5.54 43.84 0.062 nan nan nan
4221.0 0.0 6.3 45.76 0.0647 nan nan nan
4222.0 0.0 5.11 42.66 0.0603 nan nan nan
4223.0 0.0 4.24 40.09 0.0567 nan nan nan
4224.0 0.0 6.09 45.23 0.064 nan nan nan
4225.0 0.0 6.09 45.23 0.064 nan nan nan
4226.0 0.0 5.43 43.55 0.0616 nan nan nan
4227.0 0.0 3.7 38.3 0.0542 nan nan nan
4228.0 0.0 6.19 45.49 0.0644 nan nan nan
4229.0 0.0 6.52 46.28 0.0655 nan nan nan
4230.0 0.0 5.43 43.55 0.0616 nan nan nan
4231.0 0.0 5.76 44.4 0.0628 nan nan nan
4232.0 0.0 7.06 47.53 0.0672 nan nan nan
4233.0 0.0 3.15 36.32 0.0514 nan nan nan
4234.0 0.0 5.11 42.66 0.0603 nan nan nan
4235.0 0.0 5.22 42.96 0.0608 nan nan nan
4236.0 0.0 2.93 35.46 0.0502 nan nan nan
4237.0 0.0 5.98 44.95 0.0636 nan nan nan
4238.0 0.0 5.43 43.55 0.0616 nan nan nan
4239.0 0.0 4.24 40.09 0.0567 nan nan nan
4240.0 0.0 4.78 41.73 0.059 nan nan nan
4241.0 0.0 3.91 39.03 0.0552 nan nan nan
4242.0 0.0 5.65 44.12 0.0624 nan nan nan
4243.0 0.0 5.76 44.4 0.0628 nan nan nan
4244.0 0.0 2.83 35.02 0.0495 nan nan nan
4245.0 0.0 3.8 38.67 0.0547 nan nan nan
4246.0 0.0 3.8 38.67 0.0547 nan nan nan
4247.0 0.0 4.35 40.43 0.0572 nan nan nan
4248.0 0.0 1.2 26.29 0.0372 nan nan nan
4249.0 0.0 5.98 44.96 0.0636 nan nan nan
4250.0 0.0 4.89 42.05 0.0595 nan nan nan
4251.0 0.0 3.91 39.03 0.0552 nan nan nan
4252.0 0.0 4.67 41.41 0.0586 nan nan nan
4253.0 0.0 5.33 43.26 0.0612 nan nan nan
4254.0 0.0 6.41 46.02 0.0651 nan nan nan
4255.0 0.0 4.67 41.41 0.0586 nan nan nan
4256.0 0.0 6.19 45.49 0.0644 nan nan nan
4257.0 0.0 4.46 40.76 0.0577 nan nan nan
4258.0 0.0 4.46 40.76 0.0577 nan nan nan
4259.0 0.0 5.76 44.4 0.0628 nan nan nan
4260.0 0.0 4.78 41.73 0.059 nan nan nan
4261.0 0.0 4.89 42.05 0.0595 nan nan nan
4262.0 0.0 5.43 43.55 0.0616 nan nan nan
4263.0 0.0 4.46 40.76 0.0577 nan nan nan
4264.0 0.0 5.0 42.36 0.0599 nan nan nan
4265.0 0.0 5.98 44.96 0.0636 nan nan nan
4266.0 0.0 4.24 40.09 0.0567 nan nan nan
4267.0 0.0 3.48 37.53 0.0531 nan nan nan
4268.0 0.0 5.98 44.96 0.0636 nan nan nan
4269.0 0.0 4.67 41.41 0.0586 nan nan nan
4270.0 0.0 5.22 42.96 0.0608 nan nan nan
4271.0 0.0 5.43 43.55 0.0616 nan nan nan
4272.0 0.0 5.22 42.96 0.0608 nan nan nan
4273.0 0.0 5.54 43.84 0.062 nan nan nan
4274.0 0.0 6.19 45.49 0.0644 nan nan nan
4275.0 0.0 5.87 44.68 0.0632 nan nan nan
4276.0 0.0 4.67 41.41 0.0586 nan nan nan
4277.0 0.0 6.19 45.49 0.0644 nan nan nan
4278.0 0.0 3.91 39.03 0.0552 nan nan nan
4279.0 0.0 5.22 42.96 0.0608 nan nan nan
4280.0 0.0 5.43 43.55 0.0616 nan nan nan
4281.0 0.0 4.78 41.73 0.059 nan nan nan
4282.0 0.0 4.67 41.41 0.0586 nan nan nan
4283.0 0.0 5.98 44.96 0.0636 nan nan nan
4284.0 0.0 5.43 43.55 0.0616 nan nan nan
4285.0 0.0 4.24 40.09 0.0567 nan nan nan
4286.0 0.0 5.11 42.66 0.0603 nan nan nan
4287.0 0.0 3.37 37.14 0.0525 nan nan nan
4288.0 0.0 3.7 38.3 0.0542 nan nan nan
4289.0 0.0 5.33 43.26 0.0612 nan nan nan
4290.0 0.0 5.54 43.84 0.062 nan nan nan
4291.0 0.0 6.41 46.02 0.0651 nan nan nan
4292.0 0.0 6.3 45.76 0.0647 nan nan nan
4293.0 0.0 5.0 42.36 0.0599 nan nan nan
4294.0 0.0 4.13 39.74 0.0562 nan nan nan
4295.0 0.0 4.46 40.76 0.0577 nan nan nan
4296.0 0.0 6.19 45.49 0.0644 nan nan nan
4297.0 0.0 3.15 36.32 0.0514 nan nan nan
4298.0 0.0 5.22 42.96 0.0608 nan nan nan
4299.0 0.0 6.09 45.23 0.064 nan nan nan
4300.0 0.0 6.52 46.28 0.0655 nan nan nan
4301.0 0.0 5.43 43.55 0.0616 nan nan nan
4302.0 0.0 6.63 46.53 0.0658 nan nan nan
4303.0 0.0 4.24 40.09 0.0567 nan nan nan
4304.0 0.0 6.09 45.23 0.064 nan nan nan
4305.0 0.0 5.22 42.96 0.0608 nan nan nan
4306.0 0.0 1.3 27.06 0.0383 nan nan nan
4307.0 0.0 5.22 42.96 0.0608 nan nan nan
4308.0 0.0 5.65 44.12 0.0624 nan nan nan
4309.0 0.0 4.46 40.76 0.0577 nan nan nan
4310.0 0.0 5.22 42.96 0.0608 nan nan nan
4311.0 0.0 6.19 45.49 0.0644 nan nan nan
4312.0 0.0 3.7 38.3 0.0542 nan nan nan
4313.0 0.0 6.52 46.28 0.0655 nan nan nan
4314.0 0.0 4.13 39.74 0.0562 nan nan nan
4315.0 1.0 5.65 44.12 0.0624 0.0 0.0 0.0
4316.0 0.0 2.83 35.02 0.0495 nan nan nan
4317.0 0.0 6.09 45.23 0.064 nan nan nan
4318.0 0.0 6.41 46.02 0.0651 nan nan nan
4319.0 0.0 5.87 44.68 0.0632 nan nan nan
4320.0 1.0 4.46 40.76 0.0577 0.0 0.0 0.0
4321.0 0.0 4.78 41.73 0.059 nan nan nan
4322.0 0.0 4.67 41.41 0.0586 nan nan nan
4323.0 0.0 6.19 45.49 0.0644 nan nan nan
4324.0 1.0 5.11 42.66 0.0603 0.0 0.0 0.0
4325.0 0.0 5.22 42.96 0.0608 nan nan nan
4326.0 0.0 3.7 38.3 0.0542 nan nan nan
4327.0 0.0 4.56 41.09 0.0581 nan nan nan
4328.0 0.0 5.33 43.26 0.0612 nan nan nan
4329.0 0.0 1.63 29.15 0.0412 nan nan nan
4330.0 0.0 4.89 42.05 0.0595 nan nan nan
4331.0 0.0 3.91 39.03 0.0552 nan nan nan
4332.0 0.0 5.87 44.68 0.0632 nan nan nan
4333.0 0.0 5.87 44.68 0.0632 nan nan nan
4334.0 0.0 5.87 44.68 0.0632 nan nan nan
4335.0 0.0 6.3 45.76 0.0647 nan nan nan
4336.0 0.0 5.22 42.96 0.0608 nan nan nan
4337.0 0.0 5.33 43.26 0.0612 nan nan nan
4338.0 0.0 5.54 43.84 0.062 nan nan nan
4339.0 0.0 2.83 35.02 0.0495 nan nan nan
4340.0 0.0 3.26 36.73 0.052 nan nan nan
4341.0 0.0 5.43 43.55 0.0616 nan nan nan
4342.0 0.0 5.22 42.96 0.0608 nan nan nan
4343.0 0.0 3.91 39.03 0.0552 nan nan nan
4344.0 0.0 4.78 41.73 0.059 nan nan nan
4345.0 0.0 4.89 42.05 0.0595 nan nan nan
4346.0 0.0 0.0 nan 0.0 nan nan nan
4347.0 0.0 4.02 39.39 0.0557 nan nan nan
4348.0 0.0 4.02 39.39 0.0557 nan nan nan
4349.0 0.0 5.43 43.55 0.0616 nan nan nan
4350.0 0.0 3.48 37.53 0.0531 nan nan nan
4351.0 0.0 5.11 42.66 0.0603 nan nan nan
4352.0 0.0 6.85 47.04 0.0665 nan nan nan
4353.0 0.0 5.87 44.68 0.0632 nan nan nan
4354.0 0.0 4.35 40.43 0.0572 nan nan nan
4355.0 0.0 2.93 35.46 0.0502 nan nan nan
4356.0 0.0 3.59 37.92 0.0536 nan nan nan
4357.0 0.0 4.56 41.09 0.0581 nan nan nan
4358.0 0.0 5.76 44.4 0.0628 nan nan nan
4359.0 0.0 4.35 40.43 0.0572 nan nan nan
4360.0 0.0 5.65 44.12 0.0624 nan nan nan
4361.0 0.0 5.54 43.84 0.062 nan nan nan
4362.0 0.0 5.0 42.36 0.0599 nan nan nan
4363.0 0.0 3.91 39.03 0.0552 nan nan nan
4364.0 0.0 5.43 43.55 0.0616 nan nan nan
4365.0 0.0 3.59 37.92 0.0536 nan nan nan
4366.0 0.0 1.96 30.98 0.0438 nan nan nan
4367.0 0.0 3.04 35.9 0.0508 nan nan nan
4368.0 0.0 4.89 42.05 0.0595 nan nan nan
4369.0 0.0 4.24 40.09 0.0567 nan nan nan
4370.0 0.0 2.72 34.56 0.0489 nan nan nan
4371.0 0.0 5.87 44.68 0.0632 nan nan nan
4372.0 0.0 6.41 46.02 0.0651 nan nan nan
