No. Number_particles M200 sigma200 R200 Sigma M_sigma Sigma_LoS Offset offset_log a_major b_inter c_minor major_dispersion intermediate_dispersion minor_dispersion
99.0 3163.0 343.751 173.5234 0.2455 260.2157 773.0276 161.2369 0.03419 -1.46605 0.08221 0.05825 0.04787 146.74253 157.55626 146.133
100.0 1633.0 177.4725 139.2049 0.1969 228.3111 477.3931 129.185 0.00947 -2.02381 0.05255 0.04896 0.0387 131.39662 144.23571 118.56212
101.0 2933.0 318.7549 169.2131 0.2393 287.9939 923.3271 182.4677 0.02176 -1.66227 0.06352 0.04648 0.04337 190.07795 153.41893 152.55645
102.0 1756.0 190.84 142.614 0.2017 235.1797 518.9732 148.9242 0.02881 -1.54049 0.06737 0.05666 0.04394 160.4839 120.21867 122.88974
103.0 3281.0 356.5751 175.6584 0.2485 267.1371 824.6733 166.9459 0.02738 -1.56263 0.0735 0.05781 0.05779 162.22092 156.34006 143.54237
104.0 3089.0 335.7088 172.1611 0.2435 263.1932 784.5882 146.9164 0.01302 -1.88552 0.07407 0.05354 0.04627 170.65497 146.09359 137.12844
105.0 3291.0 357.6619 175.835 0.2487 285.4749 942.7527 172.0323 0.00365 -2.43749 0.05981 0.05539 0.04535 173.14801 171.12303 149.10605
106.0 3365.0 365.7041 177.143 0.2506 290.0637 980.5475 165.3308 0.00366 -2.43699 0.06367 0.05008 0.04334 181.45967 170.63825 148.63346
107.0 3067.0 333.3178 171.7507 0.2429 267.7582 810.1163 150.1551 0.00967 -2.01438 0.06595 0.0564 0.0419 158.22881 169.2966 134.15205
108.0 2697.0 293.1067 164.5439 0.2328 259.4752 728.8763 146.703 0.00703 -2.15322 0.0644 0.05295 0.0426 166.61943 149.7111 130.96545
109.0 3439.0 373.7464 178.4333 0.2524 279.4715 916.8537 165.3977 0.02963 -1.52828 0.07578 0.0553 0.0454 169.72756 162.75235 151.025
110.0 2193.0 238.3326 153.5798 0.2172 246.8595 615.7646 145.7699 0.00518 -2.28578 0.05642 0.05177 0.03754 157.9553 144.73069 122.64888
111.0 2869.0 311.7994 167.9704 0.2376 275.6811 839.8926 152.2995 0.02213 -1.65511 0.0708 0.05306 0.04858 143.8316 150.16271 181.00739
112.0 3037.0 330.0575 171.1871 0.2422 263.4366 781.6273 155.0874 0.00656 -2.18341 0.06319 0.05336 0.04389 162.45133 154.34462 138.5141
113.0 2814.0 305.8221 166.8895 0.2361 271.858 811.5124 160.53 0.00266 -2.5758 0.05318 0.05028 0.04234 160.31402 161.96184 148.23817
114.0 2680.0 291.2592 164.2002 0.2323 257.9968 719.0528 151.1218 0.0154 -1.81241 0.06012 0.05059 0.04279 162.15664 145.73675 137.9434
115.0 2680.0 291.2592 164.2008 0.2323 256.4371 710.3807 145.1187 0.01385 -1.85853 0.06407 0.05452 0.04686 161.45961 141.83355 139.90729
116.0 2664.0 295.715 165.0295 0.2334 278.3188 841.0761 165.3958 0.0033 -2.48188 0.05072 0.0454 0.04028 164.51054 163.43998 153.89925
117.0 2561.0 278.3264 161.7332 0.2288 258.0817 708.7129 149.0977 0.00389 -2.41028 0.06067 0.04885 0.04165 169.08155 139.37773 136.3505
118.0 2098.0 228.0081 151.3302 0.2141 245.6359 600.7349 137.5044 0.00806 -2.09347 0.06292 0.05108 0.04136 154.38612 141.53138 128.33852
119.0 2882.0 313.2123 168.2262 0.238 261.7318 758.166 155.8651 0.00344 -2.463 0.06291 0.04942 0.04673 161.03197 144.3159 147.46244
120.0 2663.0 289.4116 163.8543 0.2318 287.4479 890.6735 159.7213 0.01405 -1.85236 0.05633 0.04928 0.04439 208.65956 141.05444 138.53211
121.0 1697.0 184.4279 141.0001 0.1994 243.9884 552.2377 138.6538 0.00449 -2.34753 0.06034 0.03384 0.03074 180.35211 120.03669 112.22587
122.0 2664.0 289.5203 163.8719 0.2318 261.7393 738.5972 154.5617 0.01116 -1.95241 0.06579 0.05117 0.03946 174.27165 144.44353 131.42642
123.0 2377.0 258.3295 157.7604 0.2232 248.0294 638.5341 142.2211 0.00519 -2.28468 0.06049 0.04676 0.04198 159.20466 141.70983 126.84945
124.0 2608.0 283.4343 162.7165 0.2302 254.5921 693.872 141.0064 0.00169 -2.77248 0.05928 0.05355 0.03683 161.17942 151.05338 126.575
125.0 1753.0 190.5139 142.533 0.2016 225.4284 476.5552 122.7805 0.01495 -1.82526 0.06161 0.04403 0.0365 150.5542 123.26987 113.8242
126.0 2909.0 316.1466 168.7447 0.2387 295.6705 970.6087 171.4478 0.02435 -1.61356 0.07264 0.05061 0.03444 174.61547 192.29476 141.25586
127.0 2769.0 300.9316 165.9959 0.2348 274.0457 820.1982 160.9459 0.00177 -2.75272 0.05759 0.04962 0.0443 167.85992 152.81574 153.52993
128.0 2399.0 260.7204 158.247 0.2238 252.6405 664.5236 153.0011 0.00708 -2.14973 0.06558 0.05424 0.04017 167.29113 138.47393 129.09645
129.0 2341.0 254.4171 156.9601 0.222 273.1065 770.2508 154.2593 0.01874 -1.72721 0.06195 0.0495 0.03704 180.95495 157.8296 130.12418
130.0 2003.0 217.6836 149.0114 0.2108 240.1789 565.5312 142.0911 0.01755 -1.75579 0.06104 0.0453 0.03976 157.02353 128.13395 128.88456
131.0 2607.0 283.3256 162.6942 0.2301 252.1455 680.5248 143.412 0.00495 -2.30576 0.05774 0.04639 0.04727 153.40486 141.37554 141.62364
132.0 2159.0 234.6375 152.7818 0.2161 248.7309 621.8904 153.4278 0.01065 -1.97275 0.06024 0.04757 0.03497 162.30365 143.21954 122.52655
133.0 2207.0 239.8541 153.9059 0.2177 248.2172 623.8792 139.2183 0.00784 -2.10593 0.06097 0.0424 0.03711 164.55847 134.52249 128.20296
134.0 1932.0 209.9674 147.2275 0.2083 232.6404 524.2567 122.4561 0.00631 -2.2001 0.05192 0.05095 0.04002 139.02537 142.52418 120.33433
135.0 2385.0 259.1989 157.9347 0.2234 249.2563 645.6097 142.2973 0.0028 -2.55292 0.06354 0.04773 0.04031 165.79489 133.51954 129.66607
136.0 2218.0 241.0495 154.1613 0.2181 239.7118 582.8201 134.8279 0.01697 -1.7704 0.06142 0.06082 0.0384 129.76855 158.87456 124.01912
137.0 2457.0 267.0238 159.5127 0.2256 250.8688 660.4692 139.4397 0.00932 -2.03069 0.05674 0.05578 0.04194 146.32705 152.38105 135.29073
138.0 1816.0 197.3607 144.2221 0.204 231.8766 510.1653 138.8016 0.00981 -2.00821 0.06151 0.04295 0.03955 148.88237 120.8714 130.34922
139.0 2295.0 249.4178 155.9259 0.2206 258.976 688.0343 176.0617 0.0094 -2.0269 0.06788 0.05732 0.03855 134.67259 172.86485 138.02039
140.0 1996.0 216.9229 148.8381 0.2105 227.1161 505.0953 127.6998 0.00212 -2.67384 0.05738 0.05109 0.04405 139.94987 127.83691 125.1139
141.0 2445.0 265.7196 159.2512 0.2253 243.7757 622.6428 137.505 0.00673 -2.17221 0.05821 0.05168 0.04248 150.44179 139.38008 131.78419
142.0 2254.0 244.962 154.9883 0.2192 241.4078 594.2965 144.9012 0.00488 -2.3118 0.06836 0.05266 0.04247 152.84268 141.83838 121.64998
