No. Number_particles M200 sigma200 R200 Sigma M_sigma Sigma_LoS Offset offset_log a_major b_inter c_minor major_dispersion intermediate_dispersion minor_dispersion
4427.0 41.0 4.4558 40.762 0.0577 56.0832 8.4349 33.0418 0.01176 -1.92967 0.01444 0.0128 0.01055 28.62311 37.03306 30.89647
4428.0 41.0 4.4558 40.762 0.0577 313.8458 264.1493 115.7621 0.01041 -1.98266 0.01632 0.01472 0.0121 243.19562 127.41965 152.05032
4429.0 28.0 3.043 35.8956 0.0508 61.0609 8.8053 34.3686 0.0188 -1.72591 0.01594 0.01283 0.0113 45.43373 23.23478 33.53149
4430.0 9.0 0.9781 24.5889 0.0348 140.9025 32.118 55.0605 0.00709 -2.14918 0.01262 0.01009 0.00326 108.83144 33.11663 83.14165
4431.0 54.0 5.8687 44.68 0.0632 65.4672 12.5997 40.0674 0.00863 -2.0641 0.01854 0.01427 0.01213 41.26002 38.56877 33.10607
4432.0 41.0 4.4558 40.762 0.0577 58.2911 9.1122 31.7953 0.00911 -2.04036 0.01767 0.01475 0.01057 37.08863 33.80916 29.65176
4433.0 27.0 2.9343 35.4633 0.0502 53.868 6.7704 34.341 0.00652 -2.18555 0.01625 0.01136 0.01015 29.0455 35.80739 27.85598
4434.0 33.0 3.5864 37.9162 0.0536 71.4334 12.7295 33.3885 0.00639 -2.19471 0.01952 0.01291 0.00941 33.20928 38.74414 49.98771
4435.0 42.0 4.5645 41.0909 0.0581 62.9498 10.7125 35.5386 0.01055 -1.97659 0.01357 0.01254 0.01123 37.07637 38.97712 32.6926
4436.0 43.0 4.6732 41.4141 0.0586 54.685 8.148 30.1465 0.00789 -2.10302 0.01917 0.01225 0.01117 35.37012 33.12321 25.34276
4437.0 47.0 5.1079 42.6602 0.0603 56.161 8.8525 28.7315 0.00812 -2.09066 0.01644 0.014 0.01303 37.5584 30.86394 28.12197
4438.0 59.0 6.412 46.0199 0.0651 76.617 17.7728 48.5084 0.00887 -2.05195 0.01734 0.01487 0.01163 49.93558 37.2097 44.6322
4439.0 41.0 4.4558 40.762 0.0577 53.694 7.7316 26.7162 0.00962 -2.01663 0.01918 0.01368 0.01108 37.66181 30.37005 23.28725
4440.0 44.0 4.7819 41.7321 0.059 66.1974 12.032 45.2371 0.00571 -2.24314 0.01758 0.01238 0.00973 39.95587 40.32754 34.04863
4441.0 0.0 0.0 nan 0.0 nan nan nan nan nan nan nan nan nan nan nan
4442.0 49.0 5.3253 43.2572 0.0612 59.8196 10.1838 37.646 0.01136 -1.94461 0.0151 0.01342 0.01197 36.24165 34.79742 32.46641
4443.0 47.0 5.1079 42.6602 0.0603 57.1871 9.1789 32.3101 0.00316 -2.49976 0.01611 0.01479 0.01185 37.71978 26.4521 33.88013
4444.0 54.0 5.8687 44.68 0.0632 62.2803 11.4029 36.7336 0.00749 -2.12527 0.01676 0.01266 0.00971 33.40019 39.96644 34.14603
4445.0 32.0 3.4777 37.5294 0.0531 50.1003 6.1977 29.4637 0.01008 -1.99668 0.01977 0.01479 0.01218 27.97341 26.62848 31.9132
4446.0 22.0 2.3909 33.1237 0.0469 46.3057 4.6726 27.5329 0.00308 -2.51084 0.01703 0.01119 0.01146 23.04288 27.94091 28.85398
4447.0 46.0 4.9992 42.3554 0.0599 68.3704 13.0263 35.2314 0.01581 -1.80107 0.01711 0.0124 0.01105 39.8973 36.12009 42.16697
4448.0 42.0 4.5645 41.0909 0.0581 61.2017 10.1258 36.2289 0.00274 -2.56277 0.01818 0.0137 0.01045 37.43415 35.96352 32.41845
4449.0 49.0 5.3253 43.2572 0.0612 68.6056 13.395 34.4085 0.00568 -2.24563 0.01724 0.01429 0.0133 32.20441 51.49852 31.89828
4450.0 58.0 6.3034 45.7582 0.0647 64.507 12.527 35.7444 0.0052 -2.28421 0.01747 0.01313 0.01277 36.85519 35.48487 39.28963
4451.0 38.0 4.1298 39.7419 0.0562 72.6491 13.8004 47.6672 0.00373 -2.42845 0.02082 0.01324 0.00864 36.71383 47.12667 41.34079
4452.0 54.0 5.8687 44.68 0.0632 61.1819 11.0042 32.3529 0.00492 -2.30843 0.01715 0.01421 0.01034 36.93443 36.96864 31.81809
4453.0 51.0 5.5426 43.8373 0.062 64.7685 12.0992 35.5492 0.00541 -2.26651 0.01479 0.0129 0.01076 41.21576 34.26094 36.36489
4454.0 33.0 3.5864 37.9162 0.0536 50.5877 6.3841 26.0739 0.00803 -2.09534 0.01973 0.013 0.01098 36.3926 25.8169 23.83658
4455.0 49.0 5.3253 43.2572 0.0612 64.147 11.7105 39.8121 0.00926 -2.03353 0.01658 0.01291 0.01014 39.29246 36.13421 35.57042
4456.0 48.0 5.2166 42.9607 0.0608 59.8905 10.1381 36.812 0.00977 -2.01026 0.01602 0.01472 0.00828 38.90567 37.90575 25.22638
4457.0 34.0 3.6951 38.2957 0.0542 53.5332 7.2206 27.7055 0.00641 -2.19293 0.016 0.01513 0.01227 20.5847 32.97429 36.8072
4458.0 35.0 3.8038 38.6674 0.0547 59.8341 9.108 35.4722 0.0155 -1.80973 0.01496 0.01182 0.01092 37.92069 33.66747 31.75918
4459.0 55.0 5.9773 44.9541 0.0636 60.2076 10.7219 37.7682 0.01 -1.99998 0.0183 0.01403 0.01246 32.99928 34.32814 36.8454
4460.0 30.0 3.2604 36.7305 0.052 46.9852 5.335 25.0705 0.00594 -2.22648 0.02006 0.01282 0.00882 25.99498 29.03122 26.24992
4461.0 43.0 4.6732 41.4141 0.0586 55.0474 8.2564 27.9969 0.01168 -1.93255 0.02395 0.01377 0.01044 30.32969 30.49367 34.3579
4462.0 52.0 5.6513 44.1228 0.0624 69.074 13.85 38.561 0.00406 -2.39121 0.01431 0.01313 0.01169 42.0445 38.5628 38.94079
4463.0 49.0 5.3253 43.2572 0.0612 59.0449 9.9218 32.7945 0.00698 -2.15584 0.02207 0.01396 0.01034 34.66514 38.05586 28.92022
4464.0 51.0 5.5426 43.8373 0.062 59.9166 10.3544 30.4773 0.0106 -1.97479 0.0197 0.0123 0.00993 35.94379 35.71736 31.97367
4465.0 56.0 6.086 45.2255 0.064 61.694 11.3254 32.9029 0.00917 -2.03777 0.02008 0.01647 0.01091 30.3141 45.52181 28.54775
4466.0 54.0 5.8687 44.6805 0.0632 63.0002 11.6678 36.4457 0.00564 -2.24842 0.01684 0.01436 0.01059 38.491 38.49092 31.71628
4467.0 40.0 4.3472 40.4276 0.0572 91.6247 22.3293 58.2016 0.01053 -1.97775 0.01851 0.01335 0.01014 32.88835 51.60398 68.19437
4468.0 44.0 4.7819 41.7325 0.059 61.6267 10.4276 36.5492 0.0022 -2.65668 0.01612 0.01296 0.01145 37.8199 37.114 31.46511
4469.0 54.0 5.8687 44.6805 0.0632 60.9766 10.9302 37.0512 0.01146 -1.94087 0.0195 0.01243 0.01134 35.03453 36.09977 34.46057
4470.0 41.0 4.4558 40.7621 0.0577 60.1841 9.7136 32.055 0.00629 -2.20103 0.01663 0.01222 0.01086 36.41734 29.08378 38.07937
4471.0 45.0 4.8905 42.0463 0.0595 55.4239 8.4976 29.3597 0.00823 -2.08457 0.01735 0.01692 0.01053 30.8892 30.25245 34.6764
4472.0 42.0 4.5645 41.0907 0.0581 56.359 8.5868 31.3618 0.00679 -2.16793 0.01668 0.01553 0.01104 31.8166 33.6519 32.11835
4473.0 59.0 6.412 46.0194 0.0651 72.7813 16.0381 47.5184 0.00343 -2.46518 0.02029 0.01407 0.01139 42.76311 39.02071 44.11149
4474.0 47.0 5.1079 42.6598 0.0603 56.75 9.0394 32.0243 0.00796 -2.09927 0.0186 0.01381 0.01051 33.37794 29.93695 34.78869
4475.0 42.0 4.5645 41.0907 0.0581 55.9836 8.4728 31.6084 0.00542 -2.26584 0.01647 0.01331 0.01177 36.44777 31.94682 28.02002
4476.0 50.0 5.4339 43.5501 0.0616 60.0122 10.3185 36.0354 0.00968 -2.01422 0.02083 0.01271 0.00996 36.77492 32.99731 34.06241
4477.0 36.0 3.9124 39.0329 0.0552 54.4357 7.6095 28.5028 0.00482 -2.31732 0.01428 0.01052 0.00968 31.42397 34.58152 27.92675
4478.0 50.0 5.4339 43.5501 0.0616 70.0277 14.05 41.8509 0.01225 -1.91172 0.01457 0.01189 0.00971 43.82774 32.4043 43.96554
4479.0 57.0 6.1947 45.4945 0.0643 63.9188 12.2281 36.1623 0.00961 -2.01719 0.02306 0.01352 0.01155 42.54212 34.41961 33.03143
4480.0 53.0 5.76 44.4027 0.0628 66.8515 13.0564 44.0459 0.00686 -2.16363 0.01557 0.01078 0.00945 37.68486 39.95036 38.11746
4481.0 22.0 2.3909 33.1236 0.0469 69.3951 10.4942 37.5161 nan nan 0.01925 0.01136 0.00812 28.87327 44.09718 45.13813
4482.0 44.0 4.7819 41.7325 0.059 91.179 22.8264 52.6275 0.00551 -2.25852 0.01473 0.01077 0.00849 58.52081 43.63375 54.63532
4483.0 51.0 5.5426 43.8377 0.062 58.0264 9.7112 29.7268 0.00479 -2.31963 0.02158 0.01341 0.01058 39.7701 28.91797 30.80831
4484.0 32.0 3.4777 37.5298 0.0531 52.7831 6.8791 33.012 0.00378 -2.42274 0.0155 0.01339 0.00803 30.96836 31.50596 28.88591
4485.0 27.0 2.9343 35.4638 0.0502 56.5659 7.4653 29.0092 0.01194 -1.92291 0.01425 0.01025 0.00953 33.86385 37.83254 24.93278
4486.0 0.0 0.0 nan 0.0 nan nan nan nan nan nan nan nan nan nan nan
4487.0 49.0 5.3253 43.2572 0.0612 56.3008 9.021 33.1989 0.0047 -2.32815 0.01843 0.01197 0.01048 28.74148 35.70234 32.69636
4488.0 47.0 5.1079 42.6598 0.0603 59.4353 9.915 35.3824 0.00729 -2.13698 0.01758 0.01368 0.01095 37.33006 25.64328 38.48949
4489.0 27.0 2.9343 35.4638 0.0502 50.8559 6.0342 30.2843 0.00706 -2.1509 0.01766 0.01331 0.01078 20.92784 38.8235 25.31954
4490.0 50.0 5.4339 43.5501 0.0616 59.6485 10.1938 31.8066 0.01425 -1.84619 0.0237 0.01498 0.01139 38.07248 31.34045 33.55897
4491.0 51.0 5.5426 43.8377 0.062 59.242 10.1223 34.7753 0.00786 -2.10476 0.01875 0.01606 0.01062 36.8234 29.86162 35.52379
4492.0 38.0 4.1298 39.7426 0.0562 58.8756 9.0633 35.1348 0.00598 -2.22328 0.01385 0.01035 0.00931 31.70594 36.38354 33.72396
4493.0 46.0 4.9992 42.3553 0.0599 53.3663 7.9364 30.0006 0.0045 -2.34675 0.01863 0.015 0.01241 32.61458 31.0729 28.61348
4494.0 14.0 1.5215 28.4906 0.0403 46.754 4.0974 25.355 0.00406 -2.39116 0.01389 0.01002 0.00883 31.9132 23.40056 24.89776
4495.0 60.0 6.5207 46.2774 0.0655 65.235 12.9575 38.655 0.01149 -1.93951 0.01821 0.01425 0.01219 29.90045 42.47205 39.46764
4496.0 43.0 4.6732 41.4137 0.0586 96.0971 25.162 40.7058 0.01279 -1.89317 0.01783 0.01293 0.0097 30.87411 69.85587 58.32329
4497.0 45.0 4.8905 42.0463 0.0595 55.3854 8.4858 31.704 0.00162 -2.7894 0.01599 0.01612 0.01385 38.65171 25.74547 30.17879
4498.0 43.0 4.6732 41.4137 0.0586 58.6705 9.3792 33.0898 0.00849 -2.07118 0.0165 0.01429 0.01104 36.9222 35.5284 28.57817
4499.0 51.0 5.5426 43.8377 0.062 59.6697 10.269 32.819 0.00423 -2.3738 0.01913 0.01591 0.01138 37.25116 33.46246 32.45123
4500.0 16.0 1.7389 29.7875 0.0421 39.3755 3.0384 22.0209 0.00567 -2.24671 0.01687 0.01169 0.01045 20.30003 23.93408 23.78024
4501.0 46.0 4.9992 42.3553 0.0599 50.7213 7.1692 29.2718 0.00585 -2.23314 0.0176 0.01463 0.00954 29.10901 29.19523 29.54577
4502.0 54.0 5.8687 44.6805 0.0632 64.1595 12.1011 38.6768 0.00279 -2.55457 0.01745 0.0162 0.01154 40.87899 37.37377 32.38142
4503.0 43.0 4.6732 41.4137 0.0586 64.3368 11.2783 33.3046 0.00919 -2.03674 0.01845 0.01174 0.00851 37.22886 38.72589 35.40543
4504.0 46.0 4.9992 42.3553 0.0599 61.744 10.6238 36.5875 0.0078 -2.10815 0.01773 0.01219 0.01122 37.37781 32.0923 37.21977
4505.0 39.0 4.2385 40.0879 0.0567 59.2575 9.2613 29.5362 0.00948 -2.02333 0.0165 0.01613 0.01147 36.84371 35.47469 29.92563
4506.0 43.0 4.6732 41.4137 0.0586 59.4266 9.6225 33.6707 0.01117 -1.95185 0.01775 0.01436 0.01048 34.02538 36.22081 32.58609
4507.0 37.0 4.0211 39.3904 0.0557 58.6475 8.9138 31.44 0.01443 -1.8408 0.01787 0.00998 0.00706 38.37029 34.76703 27.54085
4508.0 52.0 5.6513 44.1218 0.0624 57.1297 9.4747 36.2457 0.00679 -2.16783 0.01932 0.01721 0.01138 34.63239 37.65255 25.43005
4509.0 24.0 2.6083 34.0976 0.0482 132.9175 39.6344 104.1758 0.00898 -2.04685 0.01835 0.01525 0.01229 89.12838 50.01072 84.9831
4510.0 53.0 5.76 44.4027 0.0628 61.2198 10.9493 28.872 0.01438 -1.84222 0.02045 0.01276 0.01044 43.72178 25.18008 34.67331
4511.0 45.0 4.8905 42.0463 0.0595 55.653 8.568 34.1334 0.01072 -1.96966 0.01841 0.01419 0.00909 34.51162 32.94946 28.64498
4512.0 20.0 2.1736 32.0872 0.0454 41.6306 3.6588 21.3733 0.00552 -2.25787 0.01719 0.01017 0.00494 23.1704 20.79436 27.63758
4513.0 21.0 2.2823 32.6134 0.0461 40.3394 3.4916 24.3433 0.00825 -2.08345 0.01128 0.00996 0.00687 22.34665 23.68117 23.81377
4514.0 41.0 4.4558 40.7621 0.0577 53.2743 7.6111 33.0121 0.00811 -2.09117 0.01803 0.01276 0.01225 32.44994 30.70911 29.01894
4515.0 28.0 3.043 35.8962 0.0508 52.2338 6.4433 28.7572 0.00713 -2.14707 0.01402 0.01218 0.01012 24.77033 34.93064 29.91079
4516.0 20.0 2.1736 32.0872 0.0454 47.9094 4.8456 25.9508 0.00589 -2.23011 0.01381 0.00989 0.00696 31.90589 26.53016 23.94726
4517.0 60.0 6.5207 46.2774 0.0655 72.1825 15.8644 49.9569 0.00744 -2.12825 0.01533 0.01339 0.01253 37.23563 49.94714 36.45697
4518.0 26.0 2.8256 35.0196 0.0495 57.2723 7.5576 33.7311 0.00915 -2.0385 0.02063 0.01327 0.00889 21.78579 36.13346 38.72807
4519.0 39.0 4.2385 40.0879 0.0567 54.5772 7.8561 32.7949 0.00598 -2.22312 0.01664 0.01318 0.01036 31.05088 30.62535 32.81155
4520.0 53.0 5.76 44.4027 0.0628 70.3563 14.4613 41.1283 0.00965 -2.01557 0.01156 0.01109 0.01005 42.32579 35.32333 43.71263
4521.0 32.0 3.4777 37.5298 0.0531 51.897 6.6501 28.5763 0.011 -1.95879 0.02232 0.01134 0.0063 33.44443 31.27332 24.42837
4522.0 45.0 4.8905 42.0463 0.0595 60.4498 10.1086 37.2544 0.00881 -2.05504 0.02495 0.01396 0.00942 45.08615 31.75249 24.7627
4523.0 35.0 3.8038 38.6675 0.0547 57.4801 8.4054 33.1233 0.00909 -2.04163 0.01723 0.01045 0.01059 31.78558 36.74169 30.71955
4524.0 51.0 5.5426 43.8377 0.062 65.8111 12.4916 34.1769 0.00285 -2.54503 0.01528 0.01317 0.01114 40.64919 36.36538 36.82795
4525.0 55.0 5.9773 44.9546 0.0636 57.0205 9.6166 33.8527 0.00711 -2.14841 0.01776 0.01002 0.01055 32.65327 33.56198 32.53758
4526.0 36.0 3.9124 39.0328 0.0552 61.0662 9.5761 38.9106 0.00399 -2.39911 0.01497 0.01218 0.00989 30.98062 36.65909 37.75438
4527.0 21.0 2.2823 32.6137 0.0461 52.3698 5.8847 27.2543 0.0038 -2.41978 0.01207 0.01124 0.00572 32.74226 35.00683 21.0965
4528.0 40.0 4.3472 40.4279 0.0572 63.5181 10.7309 36.2216 0.01268 -1.89675 0.01714 0.01542 0.01041 35.76527 35.66404 38.51589
4529.0 30.0 3.2604 36.7314 0.052 52.0297 6.5418 26.6094 0.0067 -2.17388 0.01715 0.01579 0.00834 36.47511 25.62719 26.83107
4530.0 29.0 3.1517 36.3179 0.0514 56.3713 7.5931 25.7792 0.00682 -2.16621 0.01897 0.01222 0.00603 39.9919 32.70682 22.55306
4531.0 46.0 4.9992 42.3553 0.0599 64.9742 11.7644 35.8204 0.0076 -2.1193 0.01698 0.01375 0.01184 40.83832 32.53505 38.66968
4532.0 0.0 0.0 nan 0.0 nan nan nan nan nan nan nan nan nan nan nan
4533.0 47.0 5.1079 42.6606 0.0603 54.8739 8.4513 32.7638 0.01102 -1.95796 0.01941 0.01909 0.01331 26.61779 34.98688 32.84137
4534.0 48.0 5.2166 42.9605 0.0608 59.2372 9.9183 35.6113 0.00954 -2.02038 0.01486 0.01384 0.01265 33.73425 37.53379 31.02036
4535.0 25.0 2.717 34.5647 0.0489 45.159 4.6378 23.3867 0.00744 -2.12832 0.01553 0.01127 0.00859 32.09914 22.54971 22.37168
4536.0 45.0 4.8905 42.0465 0.0595 58.9098 9.6 36.8023 0.00819 -2.08684 0.019 0.01311 0.01074 37.99556 30.35565 33.24513
4537.0 49.0 5.3253 43.258 0.0612 81.1269 18.73 35.8839 0.01014 -1.99389 0.01628 0.01243 0.00931 64.92801 33.66243 35.11071
4538.0 54.0 5.8687 44.6812 0.0632 60.384 10.7185 33.0862 0.00516 -2.28747 0.01802 0.01253 0.01199 36.08633 36.06723 32.29808
4539.0 35.0 3.8038 38.6675 0.0547 73.2694 13.6573 37.7627 0.00509 -2.29351 0.01057 0.00758 0.00807 40.01794 49.46037 36.34071
4540.0 52.0 5.6513 44.1232 0.0624 59.2351 10.1853 35.2694 0.01195 -1.92265 0.02086 0.01265 0.01161 36.68366 37.08034 28.07412
4541.0 54.0 5.8687 44.6812 0.0632 65.7471 12.707 30.8011 0.00891 -2.05025 0.01928 0.01481 0.0096 36.6976 32.75882 43.62134
4542.0 57.0 6.1947 45.4931 0.0644 64.4819 12.4453 35.408 0.00902 -2.04455 0.01565 0.01128 0.00918 33.30242 38.002 40.05887
4543.0 12.0 1.3041 27.0632 0.0383 34.7155 2.1459 15.2361 0.0123 -1.91021 0.01448 0.00983 0.00822 24.43276 17.52476 17.35183
4544.0 37.0 4.0211 39.3902 0.0557 95.2445 23.5099 42.1394 0.00482 -2.3167 0.01518 0.01377 0.01041 40.65628 29.35697 80.97371
4545.0 32.0 3.4777 37.5301 0.0531 52.5659 6.8225 28.612 0.00961 -2.01726 0.01633 0.01312 0.01125 30.74408 31.02734 29.24516
4546.0 60.0 6.5207 46.278 0.0655 68.1282 14.1319 39.5986 0.0063 -2.20061 0.01731 0.01453 0.01321 39.3064 38.64984 40.03305
4547.0 35.0 3.8038 38.6675 0.0547 41.5625 4.3946 23.554 0.00853 -2.06927 0.01784 0.01458 0.01154 24.67112 22.83323 24.44219
4548.0 59.0 6.412 46.0193 0.0651 74.2512 16.6926 43.8548 0.00379 -2.42138 0.01293 0.0098 0.00933 43.34212 38.08141 46.73872
4549.0 39.0 4.2385 40.0873 0.0567 59.2893 9.2715 35.5003 0.00583 -2.23411 0.01372 0.01199 0.01013 38.87785 34.51814 28.49969
4550.0 38.0 4.1298 39.7423 0.0562 55.1843 7.9626 30.4608 0.0051 -2.29233 0.01721 0.01185 0.00947 33.53027 33.86655 27.82234
4551.0 58.0 6.3034 45.7585 0.0647 66.4105 13.2771 39.0419 0.00862 -2.06458 0.01417 0.01327 0.00997 40.147 35.7222 39.01926
4552.0 39.0 4.2385 40.0873 0.0567 55.2651 8.0556 32.7681 0.00464 -2.3332 0.0172 0.01314 0.01083 36.1624 30.87193 28.16805
4553.0 47.0 5.1079 42.6606 0.0603 56.1571 8.8511 33.773 0.00869 -2.061 0.01756 0.01467 0.01003 28.61432 33.64808 34.67916
4554.0 43.0 4.6732 41.4145 0.0586 61.6997 10.3723 32.1887 0.01213 -1.91601 0.01914 0.01239 0.01249 37.64968 33.46524 35.6291
4555.0 16.0 1.7389 29.7869 0.0421 35.8638 2.5207 17.7455 0.01104 -1.95714 0.0158 0.01199 0.00596 24.67323 15.77412 20.70325
4556.0 34.0 3.6951 38.296 0.0542 47.8048 5.7578 28.1116 0.00873 -2.05877 0.01611 0.01206 0.01121 27.06398 24.71731 30.69032
4557.0 43.0 4.6732 41.4145 0.0586 58.1095 9.2003 34.2434 0.00933 -2.03033 0.0196 0.01314 0.01132 39.23716 30.12224 30.49288
4558.0 43.0 4.6732 41.4145 0.0586 58.6815 9.3823 35.1948 0.00422 -2.37472 0.02155 0.01438 0.0109 39.7432 31.35395 29.68036
4559.0 39.0 4.2385 40.0873 0.0567 60.8051 9.7516 35.2704 0.00439 -2.35793 0.01667 0.01216 0.01188 34.47681 35.80291 35.02522
4560.0 50.0 5.4339 43.55 0.0616 58.5841 9.8333 35.6961 0.0056 -2.25145 0.02211 0.01345 0.00989 38.84754 33.23859 28.60363
4561.0 43.0 4.6732 41.4145 0.0586 55.3748 8.3547 31.9776 0.00916 -2.03793 0.01817 0.01518 0.01105 34.23237 35.36438 25.37471
4562.0 53.0 5.76 44.4027 0.0628 60.8002 10.7997 36.5547 0.00842 -2.07449 0.0153 0.01344 0.01283 35.51681 35.04431 34.74362
4563.0 42.0 4.5645 41.0906 0.0581 57.7846 9.0268 30.455 0.00738 -2.13206 0.01533 0.01232 0.01055 35.07393 36.12 28.35889
4564.0 45.0 4.8905 42.0465 0.0595 62.3905 10.768 31.3813 0.00724 -2.14042 0.01975 0.01357 0.01109 29.86884 32.51232 44.0837
4565.0 50.0 5.4339 43.55 0.0616 59.2713 10.0653 30.7218 0.00583 -2.2342 0.01983 0.01537 0.01232 32.02855 35.63605 34.8902
4566.0 16.0 1.7389 29.7869 0.0421 51.8462 5.268 31.6961 0.0027 -2.56879 0.01414 0.00772 0.00539 23.90015 28.75599 35.91528
4567.0 48.0 5.2166 42.9605 0.0608 62.835 11.1597 32.5931 0.01164 -1.93405 0.01736 0.01364 0.01108 35.43148 35.96191 37.41113
4568.0 34.0 3.6951 38.296 0.0542 56.4246 8.0215 30.6204 0.00523 -2.28147 0.01503 0.012 0.01118 35.69757 29.78287 31.97495
4569.0 23.0 2.4996 33.6172 0.0476 51.9423 5.9675 30.1199 0.0038 -2.42066 0.01596 0.00799 0.00854 31.50039 31.04866 27.23431
4570.0 44.0 4.7819 41.733 0.059 59.7864 9.8139 33.3373 0.00745 -2.12771 0.01469 0.01282 0.01195 39.5017 31.96114 31.50425
4571.0 18.0 1.9562 30.9796 0.0438 43.9666 3.9401 28.1097 0.0131 -1.88284 0.01241 0.00757 0.00415 22.37345 24.54427 28.81094
4572.0 41.0 4.4558 40.7622 0.0577 58.2774 9.1078 30.1778 0.00388 -2.41085 0.01467 0.01432 0.01205 34.20656 35.92635 30.58543
4573.0 52.0 5.6513 44.1232 0.0624 59.8105 10.3841 33.6024 0.00988 -2.00545 0.01804 0.01453 0.01299 39.17258 29.21325 34.4876
4574.0 28.0 3.043 35.8954 0.0508 53.3626 6.7251 34.6026 0.002 -2.69905 0.0147 0.01145 0.00811 31.44019 34.22245 26.22791
4575.0 50.0 5.4339 43.55 0.0616 60.8758 10.6177 36.843 0.01351 -1.86945 0.0165 0.01504 0.00926 39.12373 32.89915 33.05826
4576.0 45.0 4.8905 42.0465 0.0595 59.3664 9.7494 31.736 0.01155 -1.9376 0.01891 0.01291 0.00893 42.42179 31.65063 26.88866
4577.0 58.0 6.3034 45.7585 0.0647 66.1685 13.1805 35.9379 0.01025 -1.98934 0.01796 0.01473 0.00981 42.4171 33.45903 38.20413
4578.0 52.0 5.6513 44.1232 0.0624 67.0372 13.045 37.5482 0.00619 -2.20843 0.01659 0.01119 0.00941 41.45053 38.8768 35.55889
4579.0 30.0 3.2604 36.7314 0.052 54.3973 7.1507 29.064 0.01086 -1.9641 0.0155 0.01315 0.00817 34.17497 30.01684 29.83507
4580.0 54.0 5.8687 44.6812 0.0632 57.4726 9.7098 32.5298 0.00518 -2.28555 0.01954 0.01436 0.01352 33.7335 32.34273 33.45284
4581.0 39.0 4.2385 40.0873 0.0567 48.3992 6.1783 27.5987 0.01307 -1.88361 0.01844 0.01626 0.01376 25.41128 30.64079 27.52983
4582.0 42.0 4.5645 41.0906 0.0581 60.6718 9.9514 36.4093 0.00282 -2.54989 0.01938 0.01068 0.01028 38.57193 35.74816 30.25463
4583.0 29.0 3.1517 36.3179 0.0514 44.3882 4.708 23.228 0.01062 -1.97408 0.01619 0.01174 0.01043 31.32485 22.59598 21.87439
4584.0 49.0 5.3253 43.258 0.0612 61.4789 10.7562 39.1044 0.00711 -2.14785 0.01641 0.01272 0.00934 45.10828 27.55435 31.39509
4585.0 42.0 4.5645 41.0906 0.0581 57.3227 8.883 31.7797 0.00691 -2.16041 0.01372 0.01348 0.00922 32.40373 35.22111 31.54939
4586.0 54.0 5.8687 44.6812 0.0632 59.1116 10.2715 35.3401 0.00568 -2.24589 0.01699 0.01338 0.01207 37.48035 30.86599 33.715
4587.0 49.0 5.3253 43.258 0.0612 58.2246 9.6477 30.736 0.0047 -2.32748 0.01938 0.01441 0.00938 30.99596 33.54615 36.11108
4588.0 55.0 5.9773 44.9545 0.0636 68.6397 13.9351 43.7574 0.00324 -2.48931 0.01585 0.01224 0.01062 42.25446 41.11338 35.15197
4589.0 46.0 4.9992 42.3553 0.0599 63.1985 11.1302 32.3966 nan nan 0.01852 0.01558 0.00957 44.40919 28.40304 34.85894
4590.0 40.0 4.3472 40.4279 0.0572 51.7107 7.1122 33.7708 0.00678 -2.16855 0.01918 0.01359 0.01174 32.94297 31.77353 24.06662
4591.0 54.0 5.8687 44.6812 0.0632 60.0721 10.608 35.3702 0.00976 -2.01052 0.01897 0.01501 0.01129 37.46438 36.36214 29.71321
4592.0 54.0 5.8687 44.6812 0.0632 72.292 15.3628 48.9979 0.00357 -2.4479 0.0174 0.01232 0.00949 47.40827 40.85313 36.18864
4593.0 49.0 5.3253 43.258 0.0612 61.076 10.6157 40.8463 0.00815 -2.08871 0.01537 0.01321 0.01175 36.33908 36.71804 32.58125
4594.0 45.0 4.8905 42.0465 0.0595 54.9268 8.3457 32.6814 0.00885 -2.05287 0.01799 0.01499 0.01262 33.96133 31.1662 29.87045
4595.0 41.0 4.4558 40.7622 0.0577 56.4847 8.5561 31.7987 0.0109 -1.96241 0.01876 0.01269 0.00975 36.27247 31.39721 29.8168
4596.0 39.0 4.2385 40.0873 0.0567 59.3118 9.2785 34.4072 0.01254 -1.90186 0.01516 0.01091 0.01059 38.55253 30.87413 32.83873
4597.0 58.0 6.3034 45.7581 0.0647 94.1039 26.6595 43.8236 0.00452 -2.34485 0.01802 0.01727 0.01398 56.97161 42.31205 61.80183
4598.0 38.0 4.1298 39.7419 0.0562 52.9006 7.3173 32.0956 0.00243 -2.61367 0.02179 0.01594 0.00976 23.46853 36.16193 30.65974
4599.0 36.0 3.9124 39.0327 0.0552 50.135 6.4546 30.0292 0.00819 -2.08675 0.01752 0.01616 0.01167 24.72776 35.66036 25.10762
4600.0 46.0 4.9992 42.3555 0.0599 59.7431 9.9462 30.5434 0.00378 -2.42287 0.01972 0.01299 0.01195 34.44825 36.50769 32.39976
4601.0 41.0 4.7819 41.7326 0.059 58.2581 9.3188 34.7521 0.0023 -2.6387 0.01633 0.01335 0.01141 31.95568 34.18541 34.70162
4602.0 41.0 4.4558 40.7614 0.0577 61.6818 10.2034 33.5146 0.01238 -1.90742 0.01258 0.01143 0.00951 38.90718 37.73114 29.44878
4603.0 40.0 4.3472 40.4273 0.0572 63.1854 10.6191 33.0748 0.00303 -2.51921 0.01401 0.0114 0.00915 38.5251 34.85551 35.9625
