mass M200 vel_disp group_number subhalo_number zform alpha
1102.872314453125 752.8179931640625 186.5459442138672 89.0 2001.0 0.6840799106361387 683.3220748871634
1291.4300537109375 968.654052734375 206.0889892578125 90.0 2011.0 0.523474215896891 805.7902197753128
1102.0029296875 874.2122192382812 198.21897888183594 91.0 2026.0 1.059682747761722 812.58998451932
1227.52685546875 873.451416015625 199.98675537109375 92.0 2042.0 0.41628323264085043 1291.2432466264488
1324.903076171875 1030.927001953125 218.31666564941406 93.0 2052.0 0.7801287645616386 891.7980035592049
1267.9554443359375 1014.5165405273438 222.7823028564453 94.0 2061.0 1.2597822379780768 654.9154992055651
1310.01416015625 1129.6072998046875 229.5274200439453 95.0 2067.0 1.0314270685116522 333.9446237574104
1320.99072265625 1119.8262939453125 234.39788818359375 96.0 2071.0 1.0498301100634868 98.67420271628514
1294.3643798828125 994.9542846679688 223.64218139648438 97.0 2074.0 1.577057840123926 909.6927505366303
1035.7088623046875 842.9126586914062 212.70175170898438 98.0 2078.0 1.4596278462319408 778.5444158287003
1296.103271484375 1139.605712890625 237.160888671875 99.0 2088.0 0.7734909048936798 -37.88885219588641
1256.3267822265625 924.3131103515625 213.28330993652344 100.0 2093.0 1.2754214691417145 744.5920527226046
1146.9959716796875 932.5726928710938 210.05784606933594 101.0 2102.0 0.8320642370063644 533.0885237594733
1181.12109375 1032.1224365234375 218.51724243164062 102.0 2109.0 1.2200039045125979 595.364292720861
1119.500244140625 886.1668090820312 209.12606811523438 103.0 2116.0 0.5830390116999667 680.5175858291337
1071.35546875 917.46630859375 205.8501434326172 104.0 2126.0 0.810611097072957 432.26136594523194
1082.440673828125 899.3169555664062 202.7245635986328 105.0 2135.0 0.3653467476911228 1495.32343850385
1133.8458251953125 868.23486328125 205.12872314453125 106.0 2149.0 0.49951875142346486 774.4602363117804
1121.89111328125 898.3388671875 211.91299438476562 107.0 2158.0 0.9804783354652491 750.6905477722376
1007.6697387695312 794.0072021484375 197.88723754882812 108.0 2165.0 1.144811197468612 430.61942030503513
982.3475341796875 841.9345703125 197.72994995117188 109.0 2170.0 0.2933957907933311 1803.1301618987663
1058.0966796875 839.5436401367188 211.32110595703125 110.0 2183.0 1.2169884775248008 557.4559973177581
1025.275634765625 872.7993774414062 207.17813110351562 111.0 2191.0 0.578352457530928 850.0493621939227
1050.2718505859375 933.9855346679688 224.4376220703125 112.0 2201.0 0.8648121571305034 883.382635435349
902.5773315429688 692.2838745117188 194.5191650390625 113.0 2210.0 0.7022982040909895 408.5323510347977
970.5015869140625 967.3499145507812 211.8081512451172 114.0 2219.0 0.5822381432186605 611.8882199874099
971.1536254882812 840.7391357421875 203.2200164794922 115.0 2224.0 1.3750566629001562 350.5460845680235
812.9173583984375 605.8842163085938 176.6073760986328 116.0 2234.0 0.298546812685963 1357.6821227106727
1047.989501953125 931.377197265625 217.36778259277344 117.0 2251.0 0.903267156536203 594.4708845671528
962.89404296875 779.2269287109375 203.94981384277344 118.0 2259.0 0.9133344870746124 1003.2749563510057
762.707763671875 578.4971923828125 180.8707733154297 119.0 2267.0 0.3736417634198842 1091.1318237947785
927.1387329101562 661.2017211914062 192.6891632080078 120.0 2279.0 0.850162642584594 945.4065447588123
944.3099975585938 770.6412963867188 189.52853393554688 121.0 2287.0 0.6835015481210155 -80.30714048831935
927.7908325195312 799.8759155273438 208.58639526367188 122.0 2294.0 0.8883681460760211 779.7481530309067
972.34912109375 797.8109741210938 202.39324951171875 123.0 2304.0 1.2551985851744223 563.9694719517612
929.9644165039062 717.388671875 197.9372100830078 124.0 2310.0 1.367966297109875 581.1462004782285
943.114501953125 711.52001953125 190.3614501953125 125.0 2319.0 0.7122143832353137 888.532088212437
